Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,TIF,Account display name,ID,Time,Cancel,
MNQ SEP26,Sell,Limit,7,29636.75,0,Cancelled,0,0,7,Target1-27542-02A8750D,,90128bf21017495c8e0b41adf58b3a35|02A8750D|2,GTC,Sim101,77c21f1112b14dd19a68c91af892ee0f,2026-08-18 오전 10:49:13,,
MNQ SEP26,Sell,Stop Market,10,0,29596.75,Filled,10,29596.575,0,Stop1-27540-02A8750D,,90128bf21017495c8e0b41adf58b3a35|02A8750D|2,GTC,Sim101,31a7a4c81e6b4d7ba8a7c0a15d90336f,2026-08-18 오전 10:49:13,,
MNQ SEP26,Buy,Market,10,0,0,Filled,10,29616.375,0,Entry-27535-02A8750D,,,GTC,Sim101,491cb1d6f90b49feb00e2830bdfdc0ba,2026-08-18 오전 10:44:48,,
MNQ SEP26,Sell,Limit,4,29688.50,0,Cancelled,0,0,4,Target1-27525-02A8750D,,7a094d7e12e849a1ba655d90897e6c1a|02A8750D|2,GTC,Sim101,f4dfae51958e49a892e927ec0759f606,2026-08-18 오전 10:40:28,,
MNQ SEP26,Sell,Stop Market,10,0,29648.50,Filled,10,29648.4,0,Stop1-27524-02A8750D,,7a094d7e12e849a1ba655d90897e6c1a|02A8750D|2,GTC,Sim101,7c1b793c6ae0433a8137a43d5a425dfe,2026-08-18 오전 10:40:28,,
MNQ SEP26,Buy,Market,10,0,0,Filled,10,29667.675,0,Entry-27518-02A8750D,,,GTC,Sim101,128f198ba29245bbb8378b2e6445a318,2026-08-18 오전 10:35:18,,
MNQ SEP26,Sell,Limit,10,29685.25,0,Filled,10,29685.25,0,Target1-27507-02A8750D,,5fafeb3a564448639e1933fa8ccca5e4|02A8750D|2,GTC,Sim101,3a59fb01ce424eddb86fe6bef353d169,2026-08-18 오전 10:30:40,,
MNQ SEP26,Sell,Stop Market,2,0,29645.25,Cancelled,0,0,2,Stop1-27506-02A8750D,,5fafeb3a564448639e1933fa8ccca5e4|02A8750D|2,GTC,Sim101,1d3b1bd4c20f43e28a2be0b418602727,2026-08-18 오전 10:30:41,,
MNQ SEP26,Buy,Market,10,0,0,Filled,10,29665.675,0,Entry-27501-02A8750D,,,GTC,Sim101,e9ccdbfee05a4204966df81909c4f251,2026-08-18 오전 10:28:10,,
MNQ SEP26,Buy to cover,Limit,9,29589.50,0,Cancelled,0,0,9,Target1-27490-02A8750D,,99d5ba7a346244a29366b5adc0a2527e|02A8750D|2,GTC,Sim101,7ae2a63616224c519e5740716ebb7e05,2026-08-18 오전 10:23:54,,
MNQ SEP26,Buy to cover,Stop Market,10,0,29629.50,Filled,10,29629.725,0,Stop1-27488-02A8750D,,99d5ba7a346244a29366b5adc0a2527e|02A8750D|2,GTC,Sim101,fe79b7c658c54f21be46968f6f59f98e,2026-08-18 오전 10:23:54,,
MNQ SEP26,Sell,Market,10,0,0,Filled,10,29609.45,0,Entry-27484-02A8750D,,,GTC,Sim101,95aa0e9cfdce426ab2e717106723c202,2026-08-18 오전 10:22:34,,
MNQ SEP26,Buy to cover,Limit,5,29578.25,0,Cancelled,0,0,5,Target1-27472-02A8750D,,f1a7cc66c39140f984a362f48bd0ce44|02A8750D|2,GTC,Sim101,7e2d85de428b49cca5f92a165b3190f1,2026-08-18 오전 10:16:06,,
MNQ SEP26,Buy to cover,Stop Market,10,0,29618.25,Filled,10,29618.375,0,Stop1-27471-02A8750D,,f1a7cc66c39140f984a362f48bd0ce44|02A8750D|2,GTC,Sim101,f6844d6b0382494c942dee19cf066989,2026-08-18 오전 10:16:05,,
MNQ SEP26,Sell,Market,10,0,0,Filled,10,29601.15,0,Entry-27466-02A8750D,,,GTC,Sim101,58d3f78aa5e0484db142fdd02a478538,2026-08-18 오전 10:15:27,,
