Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,TIF,Account display name,ID,Time,Cancel,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,28993,0,Entry,,,GTC,MFFUEVBLDR200521023,611823881098,2026-08-24 오전 10:14:49,,
MNQ SEP26,Sell,Stop Market,1,0,28973.00,Filled,1,28971.75,0,Stop1,Regular - 1,9150890d47b143fca7d2657ba7f57156,GTC,MFFUEVBLDR200521023,611823881109,2026-08-24 오전 10:18:10,,
MNQ SEP26,Sell,Limit,1,29013.00,0,Cancelled,0,0,1,Target1,Regular - 1,9150890d47b143fca7d2657ba7f57156,GTC,MFFUEVBLDR200521023,611823881112,2026-08-24 오전 10:18:11,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,28998.25,0,Entry,,,GTC,MFFUEVBLDR200521023,611823881126,2026-08-24 오전 10:24:40,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29018.25,Filled,1,29018.25,0,Stop1,Regular - 1,11a8fb222fd64743a6e24f9fe11d6996,GTC,MFFUEVBLDR200521023,611823881135,2026-08-24 오전 10:28:56,,
MNQ SEP26,Buy to cover,Limit,1,28978.25,0,Cancelled,0,0,1,Target1,Regular - 1,11a8fb222fd64743a6e24f9fe11d6996,GTC,MFFUEVBLDR200521023,611823881138,2026-08-24 오전 10:28:57,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29075.75,0,Entry,,,GTC,MFFUEVBLDR200521023,611823881152,2026-08-24 오전 10:36:42,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29095.75,Filled,1,29095.75,0,Stop1,Regular - 1,5c279e256d574a6495927f9ec64b904b,GTC,MFFUEVBLDR200521023,611823881161,2026-08-24 오전 10:37:09,,
MNQ SEP26,Buy to cover,Limit,1,29055.75,0,Cancelled,0,0,1,Target1,Regular - 1,5c279e256d574a6495927f9ec64b904b,GTC,MFFUEVBLDR200521023,611823881164,2026-08-24 오전 10:37:09,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29101.25,0,Entry,,,GTC,MFFUEVBLDR200521023,611823881178,2026-08-24 오전 10:48:22,,
MNQ SEP26,Buy to cover,Limit,1,29081.25,0,Filled,1,29081.25,0,Target1,Regular - 1,964473518d3141389d2f6bc058a84158,GTC,MFFUEVBLDR200521023,611823881190,2026-08-24 오전 10:58:10,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29121.25,Cancelled,0,0,1,Stop1,Regular - 1,964473518d3141389d2f6bc058a84158,GTC,MFFUEVBLDR200521023,611823881187,2026-08-24 오전 10:58:10,,
