Instrument,Series,SeriesSeconds,BarIndex,Time,Open,High,Low,Close,Volume,Range,Body,UpperWick,LowerWick,Direction,VO,VO_Change,VO_Slope3,VO_Slope5
MNQ JUN26,1s,1,0,2026-04-01 09:20:00,24087.5,24087.75,24087,24087,3,0.75,0.5,0.25,0,-1,,,,
MNQ JUN26,10s,10,5891,2026-04-01 09:20:00,24086.5,24089,24085.5,24087,186,3.5,0.5,2,1,1,-101.3,-1.7,-11.21666667,-9.93
MNQ JUN26,20s,20,5698,2026-04-01 09:20:00,24081.25,24089,24080.75,24087,488,8.25,5.75,2,0.5,1,-177.4,-47.9,-38.06666667,-23.53
MNQ JUN26,1s,1,1,2026-04-01 09:20:01,24087.25,24088,24086.25,24088,28,1.75,0.75,0,1,1,,,,
MNQ JUN26,1s,1,2,2026-04-01 09:20:02,24087.5,24087.5,24085.75,24087,23,1.75,0.5,0,1.25,-1,,,,
MNQ JUN26,1s,1,3,2026-04-01 09:20:03,24087.25,24087.5,24086.5,24087.5,13,1,0.25,0,0.75,1,,,,
MNQ JUN26,1s,1,4,2026-04-01 09:20:04,24087.5,24087.5,24086.5,24086.5,7,1,1,0,0,-1,,,,
MNQ JUN26,1s,1,5,2026-04-01 09:20:05,24086.75,24087,24085.25,24085.5,16,1.75,1.25,0.25,0.25,-1,,,,
MNQ JUN26,1s,1,6,2026-04-01 09:20:06,24086.5,24087,24086,24087,20,1,0.5,0,0.5,1,,,,
MNQ JUN26,1s,1,7,2026-04-01 09:20:07,24087.25,24088.75,24087,24087.5,27,1.75,0.25,1.25,0.25,1,,,,
MNQ JUN26,1s,1,8,2026-04-01 09:20:08,24088.25,24088.25,24087.5,24087.5,9,0.75,0.75,0,0,-1,,,,
MNQ JUN26,1s,1,9,2026-04-01 09:20:09,24087,24087.5,24086.5,24087,25,1,0,0.5,0.5,0,,,,
MNQ JUN26,1s,1,10,2026-04-01 09:20:10,24087.5,24087.5,24086,24087,16,1.5,0.5,0,1,-1,,,,
MNQ JUN26,10s,10,5892,2026-04-01 09:20:10,24087.25,24088.75,24085.25,24087,184,3.5,0.25,1.5,1.75,-1,-94.55,6.75,-10.96666667,-8.81
MNQ JUN26,1s,1,11,2026-04-01 09:20:11,24087.25,24087.5,24087,24087,7,0.5,0.25,0.25,0,-1,,,,
MNQ JUN26,1s,1,12,2026-04-01 09:20:12,24087.75,24087.75,24086.75,24087.25,16,1,0.5,0,0.5,-1,,,,
MNQ JUN26,1s,1,13,2026-04-01 09:20:13,24086.5,24089,24086.25,24088.25,31,2.75,1.75,0.75,0.25,1,,,,
MNQ JUN26,1s,1,14,2026-04-01 09:20:14,24088.5,24089.5,24088,24088,19,1.5,0.5,1,0,-1,,,,
MNQ JUN26,1s,1,15,2026-04-01 09:20:15,24087.75,24088,24087,24088,9,1,0.25,0,0.75,1,,,,
MNQ JUN26,1s,1,16,2026-04-01 09:20:16,24086.5,24086.5,24086.25,24086.5,3,0.25,0,0,0.25,0,,,,
MNQ JUN26,1s,1,17,2026-04-01 09:20:17,24086.25,24086.25,24084.5,24085,14,1.75,1.25,0,0.5,-1,,,,
MNQ JUN26,1s,1,18,2026-04-01 09:20:18,24085,24085,24079.5,24079.5,123,5.5,5.5,0,0,-1,,,,
MNQ JUN26,1s,1,19,2026-04-01 09:20:19,24080,24082.25,24080,24082,27,2.25,2,0.25,0,1,,,,
MNQ JUN26,1s,1,20,2026-04-01 09:20:20,24082,24084.75,24081.75,24084.25,67,3,2.25,0.5,0.25,1,,,,
MNQ JUN26,10s,10,5893,2026-04-01 09:20:20,24087.25,24089.5,24079.5,24084.25,316,10,3,2.25,4.75,-1,-58.4,36.15,13.73333333,1.85
MNQ JUN26,20s,20,5699,2026-04-01 09:20:20,24087.25,24089.5,24079.5,24084.25,500,10,3,2.25,4.75,-1,-167.2,10.2,-24.55,-13.19
MNQ JUN26,1s,1,21,2026-04-01 09:20:21,24084,24084,24082.25,24082.25,21,1.75,1.75,0,0,-1,,,,
MNQ JUN26,1s,1,22,2026-04-01 09:20:22,24082,24082,24081.25,24081.5,7,0.75,0.5,0,0.25,-1,,,,
MNQ JUN26,1s,1,23,2026-04-01 09:20:23,24081.25,24081.75,24081,24081.5,12,0.75,0.25,0.25,0.25,1,,,,
MNQ JUN26,1s,1,24,2026-04-01 09:20:24,24080.75,24081.5,24080.75,24081.25,23,0.75,0.5,0.25,0,1,,,,
MNQ JUN26,1s,1,25,2026-04-01 09:20:25,24080.5,24080.5,24078.5,24078.5,35,2,2,0,0,-1,,,,
MNQ JUN26,1s,1,26,2026-04-01 09:20:26,24078.5,24079.5,24074.75,24079.5,139,4.75,1,0,3.75,1,,,,
MNQ JUN26,1s,1,27,2026-04-01 09:20:27,24079,24080,24079,24079.5,9,1,0.5,0.5,0,1,,,,
MNQ JUN26,1s,1,28,2026-04-01 09:20:28,24079,24080.25,24079,24080.25,11,1.25,1.25,0,0,1,,,,
MNQ JUN26,1s,1,29,2026-04-01 09:20:29,24079.25,24080,24078.5,24079.5,47,1.5,0.25,0.5,0.75,1,,,,
MNQ JUN26,1s,1,30,2026-04-01 09:20:30,24079,24079,24078.25,24078.5,6,0.75,0.5,0,0.25,-1,,,,
MNQ JUN26,10s,10,5894,2026-04-01 09:20:30,24084,24084,24074.75,24078.5,310,9.25,5.5,0,3.75,-1,-23.05,35.35,26.08333333,7.72
MNQ JUN26,1s,1,31,2026-04-01 09:20:31,24078,24079.25,24077.25,24078.5,50,2,0.5,0.75,0.75,1,,,,
MNQ JUN26,1s,1,32,2026-04-01 09:20:32,24078.75,24079.25,24078.5,24079.25,9,0.75,0.5,0,0.25,1,,,,
MNQ JUN26,1s,1,33,2026-04-01 09:20:33,24079,24079,24077.75,24077.75,16,1.25,1.25,0,0,-1,,,,
MNQ JUN26,1s,1,34,2026-04-01 09:20:34,24078,24079.25,24078,24078.75,42,1.25,0.75,0.5,0,1,,,,
MNQ JUN26,1s,1,35,2026-04-01 09:20:35,24079,24079,24078,24078.25,5,1,0.75,0,0.25,-1,,,,
MNQ JUN26,1s,1,36,2026-04-01 09:20:36,24080,24082,24079.75,24081,30,2.25,1,1,0.25,1,,,,
MNQ JUN26,1s,1,37,2026-04-01 09:20:37,24080.5,24081,24080,24080.25,34,1,0.25,0.5,0.25,-1,,,,
MNQ JUN26,1s,1,38,2026-04-01 09:20:38,24080.5,24081.5,24080.5,24081.5,9,1,1,0,0,1,,,,
MNQ JUN26,1s,1,39,2026-04-01 09:20:39,24081.25,24081.25,24080,24080.25,12,1.25,1,0,0.25,-1,,,,
MNQ JUN26,1s,1,40,2026-04-01 09:20:40,24080.75,24080.75,24080,24080.25,11,0.75,0.5,0,0.25,-1,,,,
MNQ JUN26,10s,10,5895,2026-04-01 09:20:40,24078,24082,24077.25,24080.25,218,4.75,2.25,1.75,0.75,1,-40.65,-17.6,17.96666667,11.79
MNQ JUN26,20s,20,5700,2026-04-01 09:20:40,24084,24084,24074.75,24080.25,528,9.25,3.75,0,5.5,-1,-173.15,-5.95,-14.55,-21.99
MNQ JUN26,1s,1,41,2026-04-01 09:20:41,24080,24080.75,24079.75,24080.5,17,1,0.5,0.25,0.25,1,,,,
MNQ JUN26,1s,1,42,2026-04-01 09:20:42,24080.25,24081.25,24080.25,24081.25,8,1,1,0,0,1,,,,
MNQ JUN26,1s,1,43,2026-04-01 09:20:43,24080.75,24081,24080.5,24081,13,0.5,0.25,0,0.25,1,,,,
MNQ JUN26,1s,1,44,2026-04-01 09:20:44,24081.5,24084.5,24081,24084.25,67,3.5,2.75,0.25,0.5,1,,,,
MNQ JUN26,1s,1,45,2026-04-01 09:20:45,24083.25,24083.25,24082.75,24083,16,0.5,0.25,0,0.25,-1,,,,
MNQ JUN26,1s,1,46,2026-04-01 09:20:46,24082.75,24082.75,24082.75,24082.75,1,0,0,0,0,0,,,,
MNQ JUN26,1s,1,47,2026-04-01 09:20:47,24083,24083,24083,24083,2,0,0,0,0,0,,,,
MNQ JUN26,1s,1,48,2026-04-01 09:20:48,24083.25,24084,24083.25,24084,3,0.75,0.75,0,0,1,,,,
MNQ JUN26,1s,1,49,2026-04-01 09:20:49,24084.25,24085.5,24084.25,24084.75,32,1.25,0.5,0.75,0,1,,,,
MNQ JUN26,1s,1,50,2026-04-01 09:20:50,24085,24085,24084.25,24084.25,14,0.75,0.75,0,0,-1,,,,
MNQ JUN26,10s,10,5896,2026-04-01 09:20:50,24080,24085.5,24079.75,24084.25,173,5.75,4.25,1.25,0.25,1,-36.75,3.9,7.21666667,12.91
MNQ JUN26,1s,1,51,2026-04-01 09:20:51,24084,24084,24082.75,24082.75,13,1.25,1.25,0,0,-1,,,,
MNQ JUN26,1s,1,52,2026-04-01 09:20:52,24083.25,24084.25,24083.25,24083.25,44,1,0,1,0,0,,,,
MNQ JUN26,1s,1,53,2026-04-01 09:20:53,24083.25,24083.25,24081.5,24081.5,22,1.75,1.75,0,0,-1,,,,
MNQ JUN26,1s,1,54,2026-04-01 09:20:54,24081.25,24081.5,24081.25,24081.5,5,0.25,0.25,0,0,1,,,,
MNQ JUN26,1s,1,55,2026-04-01 09:20:55,24081,24082,24081,24082,8,1,1,0,0,1,,,,
MNQ JUN26,1s,1,56,2026-04-01 09:20:56,24082,24083.75,24082,24083.25,15,1.75,1.25,0.5,0,1,,,,
MNQ JUN26,1s,1,57,2026-04-01 09:20:57,24083.25,24083.75,24082.75,24083.5,14,1,0.25,0.25,0.5,1,,,,
MNQ JUN26,1s,1,58,2026-04-01 09:20:58,24083.5,24084.25,24083.5,24084.25,11,0.75,0.75,0,0,1,,,,
MNQ JUN26,1s,1,59,2026-04-01 09:20:59,24083.75,24083.75,24082.5,24083,22,1.25,0.75,0,0.5,-1,,,,
MNQ JUN26,1s,1,60,2026-04-01 09:21:00,24083.25,24083.5,24083.25,24083.5,6,0.25,0.25,0,0,1,,,,
MNQ JUN26,10s,10,5897,2026-04-01 09:21:00,24084,24084.25,24081,24083.5,160,3.25,0.5,0.25,2.5,-1,-30.8,5.95,-2.58333333,12.75
MNQ JUN26,20s,20,5701,2026-04-01 09:21:00,24080,24085.5,24079.75,24083.5,333,5.75,3.5,2,0.25,1,-175.45,-2.3,0.65,-16.38
MNQ JUN26,1s,1,61,2026-04-01 09:21:01,24083,24084,24083,24083.25,14,1,0.25,0.75,0,1,,,,
MNQ JUN26,1s,1,62,2026-04-01 09:21:02,24082.75,24082.75,24082.25,24082.25,3,0.5,0.5,0,0,-1,,,,
MNQ JUN26,1s,1,63,2026-04-01 09:21:03,24082.25,24082.25,24082.25,24082.25,1,0,0,0,0,0,,,,
MNQ JUN26,1s,1,64,2026-04-01 09:21:04,24082.25,24082.25,24080.5,24080.75,19,1.75,1.5,0,0.25,-1,,,,
MNQ JUN26,1s,1,65,2026-04-01 09:21:05,24081,24082,24081,24082,24,1,1,0,0,1,,,,
MNQ JUN26,1s,1,66,2026-04-01 09:21:06,24081.25,24085,24081.25,24082.5,45,3.75,1.25,2.5,0,1,,,,
MNQ JUN26,1s,1,67,2026-04-01 09:21:07,24083,24083,24082.5,24083,3,0.5,0,0,0.5,0,,,,
MNQ JUN26,1s,1,68,2026-04-01 09:21:08,24082.5,24083.25,24082.5,24083.25,3,0.75,0.75,0,0,1,,,,
MNQ JUN26,1s,1,69,2026-04-01 09:21:09,24082.5,24082.75,24082.25,24082.5,9,0.5,0,0.25,0.25,0,,,,
MNQ JUN26,1s,1,70,2026-04-01 09:21:10,24083.25,24083.5,24082.5,24082.75,30,1,0.5,0.25,0.25,-1,,,,
MNQ JUN26,10s,10,5898,2026-04-01 09:21:10,24083,24085,24080.5,24082.75,151,4.5,0.25,2,2.25,-1,-56.15,-25.35,-5.16666667,0.45
MNQ JUN26,1s,1,71,2026-04-01 09:21:11,24082.75,24083.75,24082.25,24083.25,24,1.5,0.5,0.5,0.5,1,,,,
MNQ JUN26,1s,1,72,2026-04-01 09:21:12,24083.5,24083.75,24083,24083.25,18,0.75,0.25,0.25,0.25,-1,,,,
MNQ JUN26,1s,1,73,2026-04-01 09:21:13,24082.5,24083,24082.5,24082.75,9,0.5,0.25,0.25,0,1,,,,
MNQ JUN26,1s,1,74,2026-04-01 09:21:14,24083,24083,24081.5,24081.5,12,1.5,1.5,0,0,-1,,,,
MNQ JUN26,1s,1,75,2026-04-01 09:21:15,24081.25,24081.75,24080.75,24080.75,19,1,0.5,0.5,0,-1,,,,
MNQ JUN26,1s,1,76,2026-04-01 09:21:16,24080.75,24081.5,24080.25,24081.5,15,1.25,0.75,0,0.5,1,,,,
MNQ JUN26,1s,1,77,2026-04-01 09:21:17,24080.5,24081.5,24080.25,24081.5,8,1.25,1,0,0.25,1,,,,
MNQ JUN26,1s,1,78,2026-04-01 09:21:18,24081,24081,24079.25,24079.5,14,1.75,1.5,0,0.25,-1,,,,
MNQ JUN26,1s,1,79,2026-04-01 09:21:19,24079.5,24080.25,24079.5,24079.5,3,0.75,0,0.75,0,0,,,,
MNQ JUN26,1s,1,80,2026-04-01 09:21:20,24079.5,24080.25,24071.5,24071.5,342,8.75,8,0.75,0,-1,,,,
MNQ JUN26,10s,10,5899,2026-04-01 09:21:20,24082.75,24083.75,24071.5,24071.5,464,12.25,11.25,1,0,-1,-35.35,20.8,0.46666667,-2.46
MNQ JUN26,20s,20,5702,2026-04-01 09:21:20,24083,24085,24071.5,24071.5,615,13.5,11.5,2,0,-1,-106.05,69.4,20.38333333,4.69
MNQ JUN26,1s,1,81,2026-04-01 09:21:21,24072,24074,24072,24073,58,2,1,1,0,1,,,,
MNQ JUN26,1s,1,82,2026-04-01 09:21:22,24073,24075.5,24073,24074.25,41,2.5,1.25,1.25,0,1,,,,
MNQ JUN26,1s,1,83,2026-04-01 09:21:23,24074.75,24074.75,24073.5,24074.25,27,1.25,0.5,0,0.75,-1,,,,
MNQ JUN26,1s,1,84,2026-04-01 09:21:24,24073.5,24074,24073,24073.5,22,1,0,0.5,0.5,0,,,,
MNQ JUN26,1s,1,85,2026-04-01 09:21:25,24073.5,24073.75,24070.25,24070.25,47,3.5,3.25,0.25,0,-1,,,,
MNQ JUN26,1s,1,86,2026-04-01 09:21:26,24070.5,24071.5,24070.25,24070.25,23,1.25,0.25,1,0,-1,,,,
MNQ JUN26,1s,1,87,2026-04-01 09:21:27,24071,24071.25,24069.5,24069.5,60,1.75,1.5,0.25,0,-1,,,,
MNQ JUN26,1s,1,88,2026-04-01 09:21:28,24069.5,24070,24069,24069.25,47,1,0.25,0.5,0.25,-1,,,,
MNQ JUN26,1s,1,89,2026-04-01 09:21:29,24070,24071,24070,24071,26,1,1,0,0,1,,,,
MNQ JUN26,1s,1,90,2026-04-01 09:21:30,24071,24071,24070,24070.5,28,1,0.5,0,0.5,-1,,,,
MNQ JUN26,10s,10,5900,2026-04-01 09:21:30,24072,24075.5,24069,24070.5,379,6.5,1.5,3.5,1.5,-1,-12.25,23.1,6.18333333,5.68
MNQ JUN26,1s,1,91,2026-04-01 09:21:31,24070.25,24072.5,24070.25,24071.75,31,2.25,1.5,0.75,0,1,,,,
MNQ JUN26,1s,1,92,2026-04-01 09:21:32,24072,24072.75,24071.75,24072,26,1,0,0.75,0.25,0,,,,
MNQ JUN26,1s,1,93,2026-04-01 09:21:33,24071.75,24072.25,24071.25,24072.25,9,1,0.5,0,0.5,1,,,,
MNQ JUN26,1s,1,94,2026-04-01 09:21:34,24072,24073,24071,24072,80,2,0,1,1,0,,,,
MNQ JUN26,1s,1,95,2026-04-01 09:21:35,24071.75,24071.75,24068.25,24069.5,81,3.5,2.25,0,1.25,-1,,,,
MNQ JUN26,1s,1,96,2026-04-01 09:21:36,24069.25,24069.25,24067.25,24067.75,60,2,1.5,0,0.5,-1,,,,
MNQ JUN26,1s,1,97,2026-04-01 09:21:37,24067.5,24067.75,24065.5,24066,70,2.25,1.5,0.25,0.5,-1,,,,
MNQ JUN26,1s,1,98,2026-04-01 09:21:38,24065.75,24067.5,24065.5,24067,36,2,1.25,0.5,0.25,1,,,,
MNQ JUN26,1s,1,99,2026-04-01 09:21:39,24067.5,24067.5,24066,24066,23,1.5,1.5,0,0,-1,,,,
MNQ JUN26,1s,1,100,2026-04-01 09:21:40,24066.25,24066.75,24064,24064.5,92,2.75,1.75,0.5,0.5,-1,,,,
MNQ JUN26,10s,10,5901,2026-04-01 09:21:40,24070.25,24073,24064,24064.5,508,9,5.75,2.75,0.5,-1,67.55,79.8,41.23333333,20.86
MNQ JUN26,20s,20,5703,2026-04-01 09:21:40,24072,24075.5,24064,24064.5,887,11.5,7.5,3.5,0.5,-1,-47,59.05,42.05,26.08
MNQ JUN26,1s,1,101,2026-04-01 09:21:41,24064,24064.5,24059.75,24062.5,202,4.75,1.5,0.5,2.75,-1,,,,
MNQ JUN26,1s,1,102,2026-04-01 09:21:42,24062.5,24063.5,24062,24063,48,1.5,0.5,0.5,0.5,1,,,,
MNQ JUN26,1s,1,103,2026-04-01 09:21:43,24063,24063,24061,24062,61,2,1,0,1,-1,,,,
MNQ JUN26,1s,1,104,2026-04-01 09:21:44,24062.25,24062.25,24061.75,24061.75,28,0.5,0.5,0,0,-1,,,,
MNQ JUN26,1s,1,105,2026-04-01 09:21:45,24061.25,24063.25,24060.5,24061.5,40,2.75,0.25,1.75,0.75,1,,,,
MNQ JUN26,1s,1,106,2026-04-01 09:21:46,24062.25,24062.75,24061.75,24062.75,16,1,0.5,0,0.5,1,,,,
MNQ JUN26,1s,1,107,2026-04-01 09:21:47,24062.75,24063,24062,24062.75,15,1,0,0.25,0.75,0,,,,
MNQ JUN26,1s,1,108,2026-04-01 09:21:48,24062.5,24063.5,24062.25,24062.5,29,1.25,0,1,0.25,0,,,,
MNQ JUN26,1s,1,109,2026-04-01 09:21:49,24062.25,24062.75,24062,24062,20,0.75,0.25,0.5,0,-1,,,,
MNQ JUN26,1s,1,110,2026-04-01 09:21:50,24061.75,24061.75,24060,24060.75,29,1.75,1,0,0.75,-1,,,,
MNQ JUN26,10s,10,5902,2026-04-01 09:21:50,24064,24064.5,24059.75,24060.75,488,4.75,3.25,0.5,1,-1,120.05,52.5,51.8,30.17
MNQ JUN26,1s,1,111,2026-04-01 09:21:51,24060.25,24061,24059.75,24060.5,38,1.25,0.25,0.5,0.5,1,,,,
MNQ JUN26,1s,1,112,2026-04-01 09:21:52,24060.5,24060.75,24060.5,24060.5,5,0.25,0,0.25,0,0,,,,
MNQ JUN26,1s,1,113,2026-04-01 09:21:53,24060.75,24061.25,24060.5,24061,23,0.75,0.25,0.25,0.25,1,,,,
MNQ JUN26,1s,1,114,2026-04-01 09:21:54,24061,24063,24061,24062.25,26,2,1.25,0.75,0,1,,,,
MNQ JUN26,1s,1,115,2026-04-01 09:21:55,24062.75,24063,24062,24062.75,11,1,0,0.25,0.75,0,,,,
MNQ JUN26,1s,1,116,2026-04-01 09:21:56,24063,24063,24062,24062.25,11,1,0.75,0,0.25,-1,,,,
MNQ JUN26,1s,1,117,2026-04-01 09:21:57,24063.25,24064.25,24063.25,24063.75,21,1,0.5,0.5,0,1,,,,
MNQ JUN26,1s,1,118,2026-04-01 09:21:58,24063.25,24063.75,24062.25,24063.25,40,1.5,0,0.5,1,0,,,,
MNQ JUN26,1s,1,119,2026-04-01 09:21:59,24063.25,24063.75,24063.25,24063.25,19,0.5,0,0.5,0,0,,,,
MNQ JUN26,1s,1,120,2026-04-01 09:22:00,24063,24063,24062,24062.5,22,1,0.5,0,0.5,-1,,,,
MNQ JUN26,10s,10,5903,2026-04-01 09:22:00,24060.25,24064.25,24059.75,24062.5,216,4.5,2.25,1.75,0.5,1,136.3,16.25,49.51666667,38.49
MNQ JUN26,20s,20,5704,2026-04-01 09:22:00,24064,24064.5,24059.75,24062.5,704,4.75,1.5,0.5,2.75,-1,-5.1,41.9,56.78333333,32.42
MNQ JUN26,1s,1,121,2026-04-01 09:22:01,24063,24063.75,24062.5,24063,55,1.25,0,0.75,0.5,0,,,,
MNQ JUN26,1s,1,122,2026-04-01 09:22:02,24063.25,24064,24062.25,24062.5,33,1.75,0.75,0.75,0.25,-1,,,,
MNQ JUN26,1s,1,123,2026-04-01 09:22:03,24062.75,24064.75,24062.5,24064.75,32,2.25,2,0,0.25,1,,,,
MNQ JUN26,1s,1,124,2026-04-01 09:22:04,24064,24064,24053.75,24059,479,10.25,5,0,5.25,-1,,,,
MNQ JUN26,1s,1,125,2026-04-01 09:22:05,24059,24068.25,24058.75,24067.25,400,9.5,8.25,1,0.25,1,,,,
MNQ JUN26,1s,1,126,2026-04-01 09:22:06,24067.25,24067.25,24064.75,24064.75,144,2.5,2.5,0,0,-1,,,,
MNQ JUN26,1s,1,127,2026-04-01 09:22:07,24064.5,24066.5,24064,24066,68,2.5,1.5,0.5,0.5,1,,,,
MNQ JUN26,1s,1,128,2026-04-01 09:22:08,24065.5,24066.5,24065.5,24066,32,1,0.5,0.5,0,1,,,,
MNQ JUN26,1s,1,129,2026-04-01 09:22:09,24066,24068.25,24065.5,24068,39,2.75,2,0.25,0.5,1,,,,
MNQ JUN26,1s,1,130,2026-04-01 09:22:10,24068,24069.5,24067.25,24067.75,67,2.25,0.25,1.5,0.5,-1,,,,
MNQ JUN26,10s,10,5904,2026-04-01 09:22:10,24063,24069.5,24053.75,24067.75,1349,15.75,4.75,1.75,9.25,1,253.8,117.5,62.08333333,57.83
MNQ JUN26,1s,1,131,2026-04-01 09:22:11,24068.5,24069.25,24067.75,24068.75,31,1.5,0.25,0.5,0.75,1,,,,
