date,time,day_type,meter,window,side,entry,exit,real_pt,exit_type,hold_2020,signal_60s,net60
260618,10:11:08,역방향정상,6.8,본체,S,30537.0,30552.0,-15.0,재량청산,-20,빨강,-26.0
260624,10:21:24,8+지뢰밭,10.9,본체,L,29570.75,29595.0,24.25,재량청산,+20,초록,73.2
260625,10:18:55,초록,1.8,본체,S,29529.5,29505.25,24.25,재량청산,+20,빨강,-86.8
260625,10:22:32,초록,1.8,본체,S,29615.0,29591.5,23.5,재량청산,+20,초록,22.5
260626,10:17:19,8+지뢰밭,8.4,본체,S,29551.25,29527.0,24.25,재량청산,+20,초록,18.2
260626,10:22:36,8+지뢰밭,8.4,본체,S,29611.25,29586.5,24.75,재량청산,+20,초록,-1.5
260629,10:16:00,초록,3.2,본체,L,29353.5,29377.0,23.5,재량청산,+20,빨강,-54.2
260629,10:28:02,초록,3.2,본체,L,29478.25,29502.75,24.5,재량청산,+20,초록,52.5
260701,10:13:10,역방향정상,5.0,본체,S,30310.5,30292.75,17.75,재량청산,+20,빨강,-9.2
260701,10:21:00,역방향정상,5.0,본체,S,30278.0,30293.0,-15.0,재량청산,-20,빨강,-18.5
260701,10:25:01,역방향정상,5.0,본체,L,30292.75,30310.75,18.0,재량청산,-20,초록,3.2
260707,10:28:21,8+지뢰밭,9.1,본체,S,29290.75,29305.75,-15.0,재량청산,-20,빨강,-19.5
260708,10:14:08,초록,1.6,본체,L,29272.25,29257.25,-15.0,재량청산,-20,초록,1.8
260708,10:18:55,초록,1.6,본체,S,29282.25,29257.5,24.75,재량청산,+20,초록,6.8
260709,10:23:24,초록,1.2,본체,L,29663.0,29687.25,24.25,재량청산,+20,초록,13.8
260709,10:31:19,초록,1.2,본체,S,29731.0,29706.5,24.5,재량청산,+20,초록,23.2
260710,10:22:50,역방향정상,5.6,본체,L,29885.25,29910.0,24.75,재량청산,+20,초록,12.0
260713,10:15:32,역방향정상,6.4,본체,S,29646.0,29642.75,3.25,재량청산,+20,초록,-3.5
260713,10:24:09,역방향정상,6.4,본체,L,29635.0,29658.75,23.75,재량청산,+20,초록,25.8
260714,10:19:18,초록,4.0,본체,L,29626.25,29650.75,24.5,재량청산,+20,초록,15.2
260714,10:29:35,초록,4.0,본체,L,29677.25,29701.5,24.25,재량청산,+20,초록,11.0
260716,10:21:41,역방향정상,5.6,본체,S,29431.75,29407.25,24.5,재량청산,+20,초록,21.0
260716,10:27:38,역방향정상,5.6,본체,L,29458.0,29482.5,24.5,재량청산,+20,초록,4.5
260720,10:23:58,8+지뢰밭,8.4,본체,L,28974.25,28998.75,24.5,재량청산,+20,초록,-4.0
260721,10:25:30,초록,2.0,본체,L,29154.75,29179.25,24.5,재량청산,+20,초록,25.2
260722,10:17:36,역방향정상,6.0,본체,L,29216.25,29239.75,23.5,재량청산,+20,초록,5.0
260723,10:12:01,역방향정상,4.8,본체,L,28737.75,28762.25,24.5,재량청산,+20,초록,15.5
260723,10:23:19,역방향정상,4.8,본체,S,28741.0,28716.5,24.5,재량청산,+20,초록,46.0
260724,10:20:33,8+지뢰밭,10.2,본체,L,28318.75,28343.0,24.25,재량청산,+20,초록,45.2
260727,10:18:35,8+지뢰밭,13.6,본체,L,28245.25,28270.0,24.75,재량청산,+20,초록,19.5
260803,10:13:10,8+지뢰밭,12.0,본체,S,28600.0,28585.0,15.0,재량청산,+20,초록,31.5
260803,10:23:49,8+지뢰밭,12.0,본체,L,28648.0,28663.0,15.0,재량청산,+20,초록,8.8
260803,10:31:39,8+지뢰밭,12.0,본체,L,28675.0,28690.0,15.0,재량청산,미청산(-1),초록,4.5
260804,10:22:13,역방향정상,5.6,본체,S,29505.0,29490.0,15.0,재량청산,+20,초록,9.0
260804,10:26:58,역방향정상,5.6,본체,L,29536.25,29551.25,15.0,재량청산,+20,초록,11.8
260805,10:16:24,역방향정상,5.6,본체,L,29997.75,30012.75,15.0,재량청산,-20,초록,-4.8
260805,10:21:13,역방향정상,5.6,본체,S,29963.25,29948.25,15.0,재량청산,+20,초록,21.5
260806,10:16:39,역방향정상,4.9,본체,L,29614.0,29629.0,15.0,재량청산,+20,초록,34.2
260806,10:19:46,역방향정상,4.9,본체,L,29635.5,29650.5,15.0,재량청산,+20,초록,17.0
260806,10:24:58,역방향정상,4.9,본체,S,29633.75,29618.75,15.0,재량청산,+20,초록,13.0
260807,10:27:59,8+지뢰밭,12.7,본체,S,29762.75,29747.75,15.0,재량청산,+20,빨강,-9.0
260813,10:36:04,8+지뢰밭,9.5,본체,S,30260.0,30250.0,10.0,재량청산,+20,초록,-0.5
260813,10:40:55,8+지뢰밭,9.5,본체,L,30256.0,30246.0,-10.0,재량청산,-20,빨강,-14.5
260813,10:45:11,8+지뢰밭,9.5,본체,S,30230.5,30220.5,10.0,재량청산,+20,초록,3.5
260813,10:47:32,8+지뢰밭,9.5,본체,S,30232.75,30222.75,10.0,재량청산,+20,초록,7.5
260813,10:52:48,8+지뢰밭,9.5,본체,S,30225.0,30215.0,10.0,재량청산,+20,초록,9.0
260813,11:00:17,8+지뢰밭,9.5,본체,S,30201.25,30211.25,-10.0,재량청산,-20,빨강,-16.8
260814,10:12:28,역방향정상,6.6,본체,S,30240.25,30225.25,15.0,재량청산,+20,초록,3.5
260814,10:36:33,역방향정상,6.6,시간외,S,30157.25,30142.25,15.0,재량청산,+20,빨강,-9.0
260814,10:49:59,역방향정상,6.6,시간외,S,30150.25,30135.25,15.0,재량청산,미청산(+4),빨강,-6.5
260825,10:32:32,역방향정상,5.4,시간외,S,29243.75,29233.5,10.25,재량청산,+20,초록,14.0
260826,10:13:48,역방향정상,7.4,본체,S,29248.5,29248.75,-0.25,재량청산,+20,초록,3.8
260826,10:30:25,역방향정상,7.4,시간외,S,29189.75,29185.75,4.0,재량청산,-20,초록,1.8
260826,10:50:47,역방향정상,7.4,시간외,S,29251.75,29247.5,4.25,재량청산,미청산(-1),초록,-2.5
260827,10:12:48,8+지뢰밭,8.8,본체,S,29572.5,29565.0,7.5,재량청산,-20,빨강,-9.2
260827,10:17:20,8+지뢰밭,8.8,본체,L,29576.5,29585.0,8.5,재량청산,+20,초록,1.0
260827,10:53:53,8+지뢰밭,8.8,시간외,L,29569.0,29570.0,1.0,재량청산,+20,초록,10.5
