date,time,day_type,meter,window,side,entry,exit,real_pt,exit_type,hold_2020,signal_60s,net60
260618,10:11:08,역방향정상,6.8,본체,S,30537.0,30552.0,-15.0,재량청산,-20,빨강,-26.0
260618,10:20:28,역방향정상,6.8,본체,S,30587.25,30607.25,-20.0,스톱,+20,초록,-1.0
260622,10:14:52,8+지뢰밭,10.5,본체,L,30915.75,30895.75,-20.0,스톱,-20,빨강,-15.2
260623,10:15:47,역방향정상,7.0,본체,S,29985.25,30005.25,-20.0,스톱,-20,빨강,-13.0
260623,10:27:03,역방향정상,7.0,본체,L,29973.0,29953.0,-20.0,스톱,-20,빨강,-18.2
260624,10:21:24,8+지뢰밭,10.9,본체,L,29570.75,29595.0,24.25,재량청산,+20,초록,73.2
260625,10:15:06,초록,1.8,본체,L,29587.75,29567.75,-20.0,스톱,+20,빨강,-38.0
260625,10:18:55,초록,1.8,본체,S,29529.5,29505.25,24.25,재량청산,+20,빨강,-86.8
260625,10:22:32,초록,1.8,본체,S,29615.0,29591.5,23.5,재량청산,+20,초록,22.5
260626,10:17:19,8+지뢰밭,8.4,본체,S,29551.25,29527.0,24.25,재량청산,+20,초록,18.2
260626,10:22:36,8+지뢰밭,8.4,본체,S,29611.25,29586.5,24.75,재량청산,+20,초록,-1.5
260626,10:27:35,8+지뢰밭,8.4,본체,L,29604.75,29584.75,-20.0,스톱,-20,초록,12.0
260629,10:16:00,초록,3.2,본체,L,29353.5,29377.0,23.5,재량청산,+20,빨강,-54.2
260629,10:22:08,초록,3.2,본체,L,29415.75,29395.75,-20.0,스톱,+20,빨강,-50.8
260629,10:28:02,초록,3.2,본체,L,29478.25,29502.75,24.5,재량청산,+20,초록,52.5
260701,10:13:10,역방향정상,5.0,본체,S,30310.5,30292.75,17.75,재량청산,+20,빨강,-9.2
260701,10:21:00,역방향정상,5.0,본체,S,30278.0,30293.0,-15.0,재량청산,-20,빨강,-18.5
260701,10:25:01,역방향정상,5.0,본체,L,30292.75,30310.75,18.0,재량청산,-20,초록,3.2
260702,10:22:12,역방향정상,4.6,본체,L,30113.0,30093.0,-20.0,스톱,-20,초록,3.5
260706,10:13:23,8+지뢰밭,9.0,본체,S,30002.75,30022.75,-20.0,스톱,-20,빨강,-20.0
260706,10:19:58,8+지뢰밭,9.0,본체,L,30009.75,29989.75,-20.0,스톱,-20,초록,1.5
260707,10:22:08,8+지뢰밭,9.1,본체,L,29345.75,29325.75,-20.0,스톱,-20,빨강,-24.5
260707,10:28:21,8+지뢰밭,9.1,본체,S,29290.75,29305.75,-15.0,재량청산,-20,빨강,-19.5
260708,10:14:08,초록,1.6,본체,L,29272.25,29257.25,-15.0,재량청산,-20,초록,1.8
260708,10:18:55,초록,1.6,본체,S,29282.25,29257.5,24.75,재량청산,+20,초록,6.8
260708,10:25:27,초록,1.6,본체,L,29336.25,29316.25,-20.0,스톱,+20,빨강,-9.2
260709,10:14:30,초록,1.2,본체,L,29821.75,29801.75,-20.0,스톱,-20,빨강,-78.5
