trade,date,daytrade,entry_t,exit_t,dur_s,bracket,result,condition
1,260217,1,093119,093123,4,10,1,cooperative
2,260217,2,093243,093249,6,15,0,cooperative
3,260217,3,093352,093416,24,15,0,cooperative
4,260217,4,093453,093526,33,15,1,cooperative
5,260217,5,093626,093652,26,15,-1,choppy
6,260217,6,093741,093746,5,15,-1,mixed
7,260217,7,093825,093836,11,10,1,cooperative
8,260217,8,093925,093936,11,10,1,cooperative
9,260217,9,094054,094110,16,15,0,mixed
10,260218,1,093330,093341,11,10,1,cooperative
11,260218,2,093622,093629,7,10,-1,choppy
12,260218,3,093928,093936,8,10,1,cooperative
13,260218,4,094032,094038,6,10,-1,mixed
14,260218,5,094144,094147,3,10,1,cooperative
15,260219,1,093609,093622,13,10,1,difficult
16,260219,2,093710,093713,3,10,-1,difficult
17,260219,3,093725,093729,4,15,-1,difficult
18,260219,4,093828,093836,8,10,-1,difficult
19,260219,5,093916,094005,34,15,1,choppy
20,260219,6,094007,094120,73,15,-1,mixed
21,260219,7,094232,094250,18,15,1,cooperative
22,260220,1,093328,093346,18,15,1,cooperative
23,260220,2,093540,093621,41,15,0,cooperative
24,260220,3,093738,093742,4,15,-1,choppy
25,260220,4,093831,093836,5,10,1,cooperative
26,260220,5,093956,094012,16,15,1,cooperative
27,260223,1,093527,093551,24,15,-1,difficult
28,260223,2,093643,093653,10,10,1,cooperative
29,260223,3,093917,093933,16,10,-1,difficult
30,260223,4,094009,094022,13,10,1,cooperative
31,260223,5,094201,094206,5,15,1,cooperative
32,260223,6,094243,094306,23,15,-1,difficult
33,260224,1,093340,093404,24,15,0,mixed
34,260224,2,093503,093522,19,15,0,cooperative
35,260224,3,093602,093613,11,10,1,cooperative
36,260224,4,093647,093652,5,10,1,cooperative
37,260224,5,093818,093820,2,10,-1,mixed
38,260224,6,093855,093906,11,10,1,cooperative
39,260225,1,093434,093445,11,10,1,mixed
40,260225,2,093718,093732,14,10,-1,difficult
41,260225,3,093801,093836,35,10,0,cooperative
42,260225,4,093904,093940,36,10,1,cooperative
43,260225,5,094010,094018,8,10,-1,difficult
44,260226,1,093414,093425,11,10,1,cooperative
45,260226,2,093615,093651,36,10,1,cooperative
46,260226,3,094013,094055,42,15,1,cooperative
47,260227,1,093631,093637,6,15,-1,choppy
48,260227,2,093807,093812,5,15,-1,choppy
49,260227,3,093848,093915,27,10,-1,difficult
50,260227,4,094009,094019,10,7.5,1,cooperative
51,260227,5,094151,094201,10,7.5,-1,difficult
