Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,TIF,Account display name,ID,Time,Cancel,
MNQ SEP26,Sell,Limit,1,29636.25,0,Cancelled,0,0,1,Target1,Regular - 2,506cc0bc4aca4dd48342ff90301f41bb,GTC,SimATM copy,a6640acfba9a415c92cbd0249d2f17c5,2026-08-18 오전 10:49:34,,
MNQ SEP26,Sell,Stop Market,1,0,29596.25,Filled,1,29596.25,0,Stop1,Regular - 2,506cc0bc4aca4dd48342ff90301f41bb,GTC,SimATM copy,d751b75e97b24c76af43ac45cad76c33,2026-08-18 오전 10:49:34,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29616.25,0,Entry,,,GTC,SimATM copy,530fe845c1c94f4f9eeb9b1aff89f3be,2026-08-18 오전 10:44:48,,
MNQ SEP26,Sell,Limit,1,29687.50,0,Cancelled,0,0,1,Target1,Regular - 2,491a6420e32f4cb9a77eae03cd72ff99,GTC,SimATM copy,0968df09b3054bcbb7e35b7bd69d1365,2026-08-18 오전 10:40:28,,
MNQ SEP26,Sell,Stop Market,1,0,29647.50,Filled,1,29647.5,0,Stop1,Regular - 2,491a6420e32f4cb9a77eae03cd72ff99,GTC,SimATM copy,dbe75198aac04aa9804541c2b4416b79,2026-08-18 오전 10:40:28,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29667.5,0,Entry,,,GTC,SimATM copy,f3725e2f2a74458a807cca07116c052d,2026-08-18 오전 10:35:18,,
MNQ SEP26,Sell,Limit,1,29686.00,0,Filled,1,29686,0,Target1,Regular - 2,d385f90b055a44a88c1a7b265e6653c4,GTC,SimATM copy,27d8c04850f24daa87f419cbd13b3fcc,2026-08-18 오전 10:30:40,,
MNQ SEP26,Sell,Stop Market,1,0,29646.00,Cancelled,0,0,1,Stop1,Regular - 2,d385f90b055a44a88c1a7b265e6653c4,GTC,SimATM copy,908bb6054a014eb092aefb506e5e8552,2026-08-18 오전 10:30:40,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29666,0,Entry,Regular - 2,,GTC,SimATM copy,e11395ab556a488c822ae9a1619359f5,2026-08-18 오전 10:28:10,,
MNQ SEP26,Buy to cover,Limit,1,29589.25,0,Cancelled,0,0,1,Target1,Regular - 2,aa4fc26c870f464b8dbb3ffcfaccfcd0,GTC,SimATM copy,39989ac8e903474aa98b3f16f51614cc,2026-08-18 오전 10:23:54,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29629.25,Filled,1,29629.25,0,Stop1,Regular - 2,aa4fc26c870f464b8dbb3ffcfaccfcd0,GTC,SimATM copy,6c8d3eeb37ea4ff7b9424f6f0e97a549,2026-08-18 오전 10:23:53,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29609.25,0,Entry,,,GTC,SimATM copy,73d0483408ee431689410579d0756211,2026-08-18 오전 10:22:34,,
MNQ SEP26,Buy to cover,Market,1,0,0,Filled,1,29614.25,0,Close,,,DAY,SimATM copy,5aaaa23af1f741faae5b49a102465a84,2026-08-18 오전 10:16:47,,
MNQ SEP26,Buy to cover,Limit,1,29580.50,0,Cancelled,0,0,1,Target1,Regular - 2,1a93b025ef7743d0bb6c0ff56c90d8f0,GTC,SimATM copy,477729c93a2f403eab239fdcf45c7c6e,2026-08-18 오전 10:16:47,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29620.50,Cancelled,0,0,1,Stop1,Regular - 2,1a93b025ef7743d0bb6c0ff56c90d8f0,GTC,SimATM copy,406a0234401e40ff8593cd8203b4e814,2026-08-18 오전 10:16:47,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29600.5,0,Entry,,,GTC,SimATM copy,8dd0645b19994feb80d083adbe6fbd4e,2026-08-18 오전 10:15:27,,
