Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,TIF,Account display name,ID,Time,Cancel,
MNQ SEP26,Sell,Limit,1,29636.75,0,Cancelled,0,0,1,Target1-27542-02A8750D,,90128bf21017495c8e0b41adf58b3a35|02A8750D|43,GTC,SimExactAmount,c8751caaa5714c8890b1bf5beffb8348,2026-08-18 오전 10:49:13,,
MNQ SEP26,Sell,Stop Market,1,0,29596.75,Filled,1,29596.75,0,Stop1-27540-02A8750D,,90128bf21017495c8e0b41adf58b3a35|02A8750D|43,GTC,SimExactAmount,fed6d21873e94106b9ec00f9ff4ff11c,2026-08-18 오전 10:49:13,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29616.5,0,Entry-27535-02A8750D,,,GTC,SimExactAmount,afb2228c238d45a98c380101722da415,2026-08-18 오전 10:44:48,,
MNQ SEP26,Sell,Limit,1,29688.50,0,Cancelled,0,0,1,Target1-27525-02A8750D,,7a094d7e12e849a1ba655d90897e6c1a|02A8750D|43,GTC,SimExactAmount,29fcbf98c0e446d998b34a482c1d0048,2026-08-18 오전 10:40:28,,
MNQ SEP26,Sell,Stop Market,1,0,29648.50,Filled,1,29648.5,0,Stop1-27524-02A8750D,,7a094d7e12e849a1ba655d90897e6c1a|02A8750D|43,GTC,SimExactAmount,3e3984d9f666436290412b8aff6cd6a5,2026-08-18 오전 10:40:28,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29667.5,0,Entry-27518-02A8750D,,,GTC,SimExactAmount,5d99488346a74d23ab5525466d6c8c92,2026-08-18 오전 10:35:18,,
MNQ SEP26,Sell,Limit,1,29685.25,0,Filled,1,29685.25,0,Target1-27507-02A8750D,,5fafeb3a564448639e1933fa8ccca5e4|02A8750D|43,GTC,SimExactAmount,c13b6a0b4b8a4b108052cef60b46d665,2026-08-18 오전 10:30:40,,
MNQ SEP26,Sell,Stop Market,1,0,29645.25,Cancelled,0,0,1,Stop1-27506-02A8750D,,5fafeb3a564448639e1933fa8ccca5e4|02A8750D|43,GTC,SimExactAmount,7b88dfe826db41298b4ae64efdbbc85b,2026-08-18 오전 10:30:40,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29666,0,Entry-27501-02A8750D,,,GTC,SimExactAmount,f8ef5055be1b4bc0bc2a77fb9ed10fa0,2026-08-18 오전 10:28:10,,
MNQ SEP26,Buy to cover,Limit,1,29589.50,0,Cancelled,0,0,1,Target1-27490-02A8750D,,99d5ba7a346244a29366b5adc0a2527e|02A8750D|43,GTC,SimExactAmount,07eae85668ee4c88b396ed8e5c51bfdc,2026-08-18 오전 10:23:54,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29629.50,Filled,1,29629.5,0,Stop1-27488-02A8750D,,99d5ba7a346244a29366b5adc0a2527e|02A8750D|43,GTC,SimExactAmount,e0e4f48d6f1d48f58615cb8f0e20265d,2026-08-18 오전 10:23:54,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29609.25,0,Entry-27484-02A8750D,,,GTC,SimExactAmount,2f72e9031f3848e8b436b706dea5e6a7,2026-08-18 오전 10:22:34,,
MNQ SEP26,Buy to cover,Limit,1,29578.25,0,Cancelled,0,0,1,Target1-27472-02A8750D,,f1a7cc66c39140f984a362f48bd0ce44|02A8750D|43,GTC,SimExactAmount,acbd749d1e0c4819b5159e8f0b0ade83,2026-08-18 오전 10:16:06,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29618.25,Filled,1,29618.25,0,Stop1-27471-02A8750D,,f1a7cc66c39140f984a362f48bd0ce44|02A8750D|43,GTC,SimExactAmount,c1c7b4fcb1ff4c1baf452dfae1ee7821,2026-08-18 오전 10:16:05,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29600.75,0,Entry-27466-02A8750D,,,GTC,SimExactAmount,edb299ff5c2f4f40a92a6ff5f651ff2d,2026-08-18 오전 10:15:27,,
