Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,TIF,Account display name,ID,Time,Cancel,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29596.75,0,Stop1-27540_003-02A8750D,,,DAY,SimMarketOnly,628809c1fc8e408d8b3c2b7016c464cd,2026-08-18 오전 10:49:13,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29616.25,0,Entry-27535_996-02A8750D,,,DAY,SimMarketOnly,ecb351b3146641aa9156a687cc6f3787,2026-08-18 오전 10:44:48,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29648.5,0,Stop1-27524_989-02A8750D,,,DAY,SimMarketOnly,08fd588cb7cb46668b16bd4fe1c381cd,2026-08-18 오전 10:40:28,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29667.5,0,Entry-27518_982-02A8750D,,,DAY,SimMarketOnly,56fc9795280c4c7d8ad43cdc99ba7463,2026-08-18 오전 10:35:18,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29682.5,0,Target1-27507_974-02A8750D,,,DAY,SimMarketOnly,7da87f0794724b95b40d4af39cf601dc,2026-08-18 오전 10:30:40,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29666,0,Entry-27501_963-02A8750D,,,DAY,SimMarketOnly,36fdcd9e18ac4f2ba90abe3eed85a9d6,2026-08-18 오전 10:28:10,,
MNQ SEP26,Buy to cover,Market,1,0,0,Filled,1,29629.5,0,Stop1-27488_957-02A8750D,,,DAY,SimMarketOnly,30788dcf94d544ec8c6805283ca67638,2026-08-18 오전 10:23:54,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29609.25,0,Entry-27484_949-02A8750D,,,DAY,SimMarketOnly,23b4d306e79d4d32a310228b523f90b1,2026-08-18 오전 10:22:34,,
MNQ SEP26,Buy to cover,Market,1,0,0,Filled,1,29618.25,0,Stop1-27471_942-02A8750D,,,DAY,SimMarketOnly,97af1b78099e4c60b6d0458a1efe9d10,2026-08-18 오전 10:16:05,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29600,0,Entry-27466_936-02A8750D,,,DAY,SimMarketOnly,6d16f451fa8c46dd88a387362dc565de,2026-08-18 오전 10:15:27,,
