Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,TIF,Account display name,ID,Time,Cancel,
MNQ SEP26,Sell,Limit,3,29636.75,0,Cancelled,0,0,3,Target1-27542-02A8750D,,90128bf21017495c8e0b41adf58b3a35|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460121,2026-08-18 오전 10:49:13,,
MNQ SEP26,Sell,Stop Market,3,0,29596.75,Filled,3,29596.5,0,Stop1-27540-02A8750D,,90128bf21017495c8e0b41adf58b3a35|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460118,2026-08-18 오전 10:49:12,,
MNQ SEP26,Buy,Market,3,0,0,Filled,3,29616.5,0,Entry-27535-02A8750D,,,GTC,MFFUEVBLDR200521024,625654460109,2026-08-18 오전 10:44:48,,
MNQ SEP26,Sell,Limit,3,29688.50,0,Cancelled,0,0,3,Target1-27525-02A8750D,,7a094d7e12e849a1ba655d90897e6c1a|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460095,2026-08-18 오전 10:40:28,,
MNQ SEP26,Sell,Stop Market,3,0,29648.50,Filled,3,29648.5,0,Stop1-27524-02A8750D,,7a094d7e12e849a1ba655d90897e6c1a|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460092,2026-08-18 오전 10:40:27,,
MNQ SEP26,Buy,Market,3,0,0,Filled,3,29669.25,0,Entry-27518-02A8750D,,,GTC,MFFUEVBLDR200521024,625654460083,2026-08-18 오전 10:35:18,,
MNQ SEP26,Sell,Limit,3,29685.25,0,Filled,3,29685.25,0,Target1-27507-02A8750D,,5fafeb3a564448639e1933fa8ccca5e4|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460069,2026-08-18 오전 10:30:40,,
MNQ SEP26,Sell,Stop Market,3,0,29645.25,Cancelled,0,0,3,Stop1-27506-02A8750D,,5fafeb3a564448639e1933fa8ccca5e4|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460066,2026-08-18 오전 10:30:40,,
MNQ SEP26,Buy,Market,3,0,0,Filled,3,29666.5,0,Entry-27501-02A8750D,,,GTC,MFFUEVBLDR200521024,625654460057,2026-08-18 오전 10:28:10,,
MNQ SEP26,Buy to cover,Limit,3,29589.50,0,Cancelled,0,0,3,Target1-27490-02A8750D,,99d5ba7a346244a29366b5adc0a2527e|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460043,2026-08-18 오전 10:23:54,,
MNQ SEP26,Buy to cover,Stop Market,3,0,29629.50,Filled,3,29629.75,0,Stop1-27488-02A8750D,,99d5ba7a346244a29366b5adc0a2527e|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460040,2026-08-18 오전 10:23:54,,
MNQ SEP26,Sell,Market,3,0,0,Filled,3,29609.5,0,Entry-27484-02A8750D,,,GTC,MFFUEVBLDR200521024,625654460031,2026-08-18 오전 10:22:34,,
MNQ SEP26,Buy to cover,Limit,3,29578.25,0,Cancelled,0,0,3,Target1-27472-02A8750D,,f1a7cc66c39140f984a362f48bd0ce44|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460017,2026-08-18 오전 10:16:05,,
MNQ SEP26,Buy to cover,Stop Market,3,0,29618.25,Filled,3,29619.25,0,Stop1-27471-02A8750D,,f1a7cc66c39140f984a362f48bd0ce44|02A8750D|38,GTC,MFFUEVBLDR200521024,625654460014,2026-08-18 오전 10:16:05,,
MNQ SEP26,Sell,Market,3,0,0,Filled,3,29600.75,0,Entry-27466-02A8750D,,,GTC,MFFUEVBLDR200521024,625654460004,2026-08-18 오전 10:15:27,,
