Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,TIF,Account display name,ID,Time,Cancel,
MNQ SEP26,Sell,Limit,1,29560.00,0,Filled,1,29560,0,Target1,Regular - 1,1d1e9067192745ddbfd819cba3e6a217,GTC,Playback101,8a1344ced5494b78a19013e8c14f22e3,2026-08-19 오전 10:51:35,,
MNQ SEP26,Sell,Stop Market,1,0,29520.00,Cancelled,0,0,1,Stop1,Regular - 1,1d1e9067192745ddbfd819cba3e6a217,GTC,Playback101,7f8dae39d7cb4aec8ff619ebfab968a5,2026-08-19 오전 10:51:35,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29540,0,Entry,Regular - 1,,GTC,Playback101,c1e4f64ee54a443898d0a76bf8f2a876,2026-08-19 오전 10:49:05,,
MNQ SEP26,Sell,Limit,1,29559.00,0,Filled,1,29559,0,Target1,Regular - 1,eff6d2e50a2e4605954f8bcc76fad983,GTC,Playback101,c1b7fd4f86774e0e9dbf3d62445c34c1,2026-08-19 오전 10:42:42,,
MNQ SEP26,Sell,Stop Market,1,0,29519.00,Cancelled,0,0,1,Stop1,Regular - 1,eff6d2e50a2e4605954f8bcc76fad983,GTC,Playback101,d1ef680d24e448328acb7bb0241b3220,2026-08-19 오전 10:42:42,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29539,0,Entry,,,GTC,Playback101,767d1d2ab94042be8a33d84d16dc5b3d,2026-08-19 오전 10:42:22,,
MNQ SEP26,Buy to cover,Limit,1,29527.75,0,Cancelled,0,0,1,Target1,Regular - 1,e954992d3dcb45bf8ef541500a85642d,GTC,Playback101,c87c907e80764b6f90057523d412af25,2026-08-19 오전 10:40:01,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29567.75,Filled,1,29567.75,0,Stop1,Regular - 1,e954992d3dcb45bf8ef541500a85642d,GTC,Playback101,32c2997e1dcb4d0fb415056fd8ccd585,2026-08-19 오전 10:40:01,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29547.75,0,Entry,Regular - 1,,GTC,Playback101,a9c1a54cbca84aaaaad1f1b8e23c2a2a,2026-08-19 오전 10:38:16,,
MNQ SEP26,Buy to cover,Limit,1,29398.25,0,Filled,1,29398.25,0,Target1,Regular - 1,6e5b1b33d8bf47d2a1f1ecd9d1c42e31,GTC,Playback101,e9f22d6f3fcd42f4bd4c0966000ee080,2026-08-19 오전 10:25:30,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29438.25,Cancelled,0,0,1,Stop1,Regular - 1,6e5b1b33d8bf47d2a1f1ecd9d1c42e31,GTC,Playback101,85a261b0997a42f38abd8709e201e0e4,2026-08-19 오전 10:25:30,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29418.25,0,Entry,Regular - 1,,GTC,Playback101,70728271a6d743d0bdc3f13b27c1d2cc,2026-08-19 오전 10:23:45,,
MNQ SEP26,Sell,Limit,1,29465.00,0,Cancelled,0,0,1,Target1,,2d78bfca1716438fa58ae862a2ddd52e,GTC,Playback101,add0c64bf8944769a1ff5d2805cc7b5d,2026-08-19 오전 10:19:37,,
MNQ SEP26,Sell,Stop Market,1,0,29425.00,Filled,1,29425,0,Stop1,,2d78bfca1716438fa58ae862a2ddd52e,GTC,Playback101,69bc45e53cd94fd7ab96c06f407f5a1f,2026-08-19 오전 10:19:37,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29445,0,Entry,,,GTC,Playback101,9da958468ef142408c07c7afe64d4281,2026-08-19 오전 10:17:41,,
