Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,TIF,Account display name,ID,Time,Cancel,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29412.75,0,Entry,,,GTC,MFFUEVBLDR200521023,611823880617,2026-08-19 오전 10:26:03,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29432.75,Filled,1,29433,0,Stop1,Regular - 1,2908b1c08ca54a41bededbf6424ed4e1,GTC,MFFUEVBLDR200521023,611823880626,2026-08-19 오전 10:27:24,,
MNQ SEP26,Buy to cover,Limit,1,29392.75,0,Cancelled,0,0,1,Target1,Regular - 1,2908b1c08ca54a41bededbf6424ed4e1,GTC,MFFUEVBLDR200521023,611823880629,2026-08-19 오전 10:27:24,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29474.25,0,Entry,,,GTC,MFFUEVBLDR200521023,611823880643,2026-08-19 오전 10:29:44,,
MNQ SEP26,Sell,Limit,1,29494.25,0,Filled,1,29494.25,0,Target1,Regular - 1,5ecd692bc80b4709b32f22ef8ac73d45,GTC,MFFUEVBLDR200521023,611823880655,2026-08-19 오전 10:31:01,,
MNQ SEP26,Sell,Stop Market,1,0,29454.25,Cancelled,0,0,1,Stop1,Regular - 1,5ecd692bc80b4709b32f22ef8ac73d45,GTC,MFFUEVBLDR200521023,611823880652,2026-08-19 오전 10:31:01,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29482.5,0,Entry,Regular - 1,,GTC,MFFUEVBLDR200521023,611823880669,2026-08-19 오전 10:34:25,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29502.50,Filled,1,29502.75,0,Stop1,Regular - 1,b15be5467fe24c93b4804328d6732ec6,GTC,MFFUEVBLDR200521023,611823880678,2026-08-19 오전 10:35:22,,
MNQ SEP26,Buy to cover,Limit,1,29462.50,0,Cancelled,0,0,1,Target1,Regular - 1,b15be5467fe24c93b4804328d6732ec6,GTC,MFFUEVBLDR200521023,611823880681,2026-08-19 오전 10:35:22,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29512.5,0,Entry,Regular - 1,,GTC,MFFUEVBLDR200521023,611823880695,2026-08-19 오전 10:36:45,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29532.50,Filled,1,29532.5,0,Stop1,Regular - 1,3f640bd6125c4e2fa095ed57b5f8a9b0,GTC,MFFUEVBLDR200521023,611823880704,2026-08-19 오전 10:37:13,,
MNQ SEP26,Buy to cover,Limit,1,29492.50,0,Cancelled,0,0,1,Target1,Regular - 1,3f640bd6125c4e2fa095ed57b5f8a9b0,GTC,MFFUEVBLDR200521023,611823880707,2026-08-19 오전 10:37:14,,
MNQ SEP26,Sell,Market,1,0,0,Filled,1,29562.5,0,Entry,Regular - 1,,GTC,MFFUEVBLDR200521023,611823880721,2026-08-19 오전 10:40:43,,
MNQ SEP26,Buy to cover,Limit,1,29542.50,0,Filled,1,29542.5,0,Target1,Regular - 1,faa7d3ebf1b34e12930920cf9a397d46,GTC,MFFUEVBLDR200521023,611823880733,2026-08-19 오전 10:42:11,,
MNQ SEP26,Buy to cover,Stop Market,1,0,29582.50,Cancelled,0,0,1,Stop1,Regular - 1,faa7d3ebf1b34e12930920cf9a397d46,GTC,MFFUEVBLDR200521023,611823880730,2026-08-19 오전 10:42:12,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29554,0,Entry,Regular - 1,,GTC,MFFUEVBLDR200521023,611823880747,2026-08-19 오전 10:44:20,,
MNQ SEP26,Sell,Stop Market,1,0,29534.00,Filled,1,29533.75,0,Stop1,Regular - 1,bdeadd77f5114b4daa357ce4a8f60bd5,GTC,MFFUEVBLDR200521023,611823880756,2026-08-19 오전 10:49:10,,
MNQ SEP26,Sell,Limit,1,29574.00,0,Cancelled,0,0,1,Target1,Regular - 1,bdeadd77f5114b4daa357ce4a8f60bd5,GTC,MFFUEVBLDR200521023,611823880759,2026-08-19 오전 10:49:12,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29534.75,0,Entry,Regular - 1,,GTC,MFFUEVBLDR200521023,611823880773,2026-08-19 오전 10:50:27,,
MNQ SEP26,Sell,Limit,1,29554.75,0,Filled,1,29554.75,0,Target1,Regular - 1,e6fb26bd4d014874b79c0fe1efd98112,GTC,MFFUEVBLDR200521023,611823880785,2026-08-19 오전 10:51:29,,
MNQ SEP26,Sell,Stop Market,1,0,29514.75,Cancelled,0,0,1,Stop1,Regular - 1,e6fb26bd4d014874b79c0fe1efd98112,GTC,MFFUEVBLDR200521023,611823880782,2026-08-19 오전 10:51:29,,
MNQ SEP26,Buy,Market,1,0,0,Filled,1,29591.75,0,Entry,Regular - 1,,GTC,MFFUEVBLDR200521023,611823880799,2026-08-19 오전 10:55:36,,
MNQ SEP26,Sell,Limit,1,29611.75,0,Filled,1,29611.75,0,Target1,Regular - 1,bf77389450564e72a07c858dba7a9bef,GTC,MFFUEVBLDR200521023,611823880811,2026-08-19 오전 10:57:04,,
MNQ SEP26,Sell,Stop Market,1,0,29571.75,Cancelled,0,0,1,Stop1,Regular - 1,bf77389450564e72a07c858dba7a9bef,GTC,MFFUEVBLDR200521023,611823880808,2026-08-19 오전 10:57:04,,
