time,open,high,low,close,volume,bid,ask,spread
2026-06-15 09:20:01,30306.25,30306.50,30306.25,30306.50,5,30306.50,30306.50,0.00
2026-06-15 09:20:02,30305.75,30305.75,30305.75,30305.75,1,30305.75,30305.75,0.00
2026-06-15 09:20:03,30305.50,30305.50,30305.50,30305.50,2,30305.50,30305.50,0.00
2026-06-15 09:20:04,30306.25,30306.25,30306.25,30306.25,1,30306.25,30306.25,0.00
2026-06-15 09:20:05,30306.75,30306.75,30306.75,30306.75,2,30306.75,30306.75,0.00
2026-06-15 09:20:06,30305.75,30305.75,30305.75,30305.75,1,30305.75,30305.75,0.00
2026-06-15 09:20:08,30305.50,30305.50,30305.25,30305.25,4,30305.25,30305.25,0.00
2026-06-15 09:20:10,30305.00,30305.00,30305.00,30305.00,2,30305.00,30305.00,0.00
2026-06-15 09:20:12,30305.00,30306.00,30305.00,30306.00,2,30306.00,30306.00,0.00
2026-06-15 09:20:13,30306.25,30306.25,30306.25,30306.25,1,30306.25,30306.25,0.00
2026-06-15 09:20:14,30306.25,30306.25,30306.25,30306.25,4,30306.25,30306.25,0.00
2026-06-15 09:20:15,30306.25,30306.50,30306.25,30306.50,4,30306.50,30306.50,0.00
2026-06-15 09:20:16,30306.75,30306.75,30306.00,30306.00,12,30306.00,30306.00,0.00
2026-06-15 09:20:19,30306.75,30306.75,30306.75,30306.75,1,30306.75,30306.75,0.00
2026-06-15 09:20:20,30307.00,30307.00,30307.00,30307.00,2,30307.00,30307.00,0.00
2026-06-15 09:20:21,30307.00,30307.00,30307.00,30307.00,1,30307.00,30307.00,0.00
2026-06-15 09:20:23,30307.25,30307.25,30307.25,30307.25,1,30307.25,30307.25,0.00
2026-06-15 09:20:24,30307.25,30308.25,30307.00,30307.50,19,30307.50,30307.50,0.00
2026-06-15 09:20:25,30308.00,30308.25,30308.00,30308.00,4,30308.00,30308.00,0.00
2026-06-15 09:20:26,30307.25,30308.00,30307.00,30308.00,5,30308.00,30308.00,0.00
2026-06-15 09:20:28,30307.75,30308.00,30307.75,30308.00,2,30308.00,30308.00,0.00
2026-06-15 09:20:29,30309.00,30309.00,30308.50,30308.50,3,30308.50,30308.50,0.00
2026-06-15 09:20:30,30309.75,30311.50,30309.75,30311.25,26,30311.25,30311.25,0.00
2026-06-15 09:20:31,30311.75,30312.50,30311.00,30311.00,20,30311.00,30311.00,0.00
2026-06-15 09:20:32,30310.25,30310.25,30309.25,30310.25,7,30310.25,30310.25,0.00
2026-06-15 09:20:33,30309.50,30310.25,30309.50,30310.25,2,30310.25,30310.25,0.00
2026-06-15 09:20:34,30310.50,30310.50,30310.25,30310.25,4,30310.25,30310.25,0.00
2026-06-15 09:20:36,30310.25,30310.25,30310.00,30310.00,2,30310.00,30310.00,0.00
2026-06-15 09:20:37,30310.25,30310.50,30309.25,30309.25,4,30309.25,30309.25,0.00
2026-06-15 09:20:38,30309.25,30309.25,30308.75,30308.75,5,30308.75,30308.75,0.00
2026-06-15 09:20:39,30309.25,30309.25,30309.25,30309.25,5,30309.25,30309.25,0.00
2026-06-15 09:20:40,30309.25,30309.25,30309.25,30309.25,1,30309.25,30309.25,0.00
