time,open,high,low,close,volume,bid,ask,spread
2026-08-05 09:20:00,29917.50,29917.50,29917.25,29917.25,8,29917.25,29917.25,0.00
2026-08-05 09:20:01,29917.75,29917.75,29916.75,29917.25,15,29917.25,29917.25,0.00
2026-08-05 09:20:02,29917.75,29917.75,29917.25,29917.25,10,29917.25,29917.25,0.00
2026-08-05 09:20:03,29917.25,29917.50,29917.25,29917.50,5,29917.50,29917.50,0.00
2026-08-05 09:20:04,29917.75,29917.75,29915.50,29916.50,84,29916.50,29916.50,0.00
2026-08-05 09:20:05,29916.25,29916.50,29916.25,29916.50,12,29916.50,29916.50,0.00
2026-08-05 09:20:06,29917.25,29918.00,29917.25,29918.00,4,29918.00,29918.00,0.00
2026-08-05 09:20:07,29918.00,29918.75,29918.00,29918.50,7,29918.50,29918.50,0.00
2026-08-05 09:20:08,29918.50,29918.50,29918.50,29918.50,3,29918.50,29918.50,0.00
2026-08-05 09:20:09,29918.25,29918.25,29918.00,29918.00,3,29918.00,29918.00,0.00
2026-08-05 09:20:10,29917.75,29918.00,29917.25,29917.25,11,29917.25,29917.25,0.00
2026-08-05 09:20:11,29916.75,29917.25,29916.25,29916.25,28,29916.25,29916.25,0.00
2026-08-05 09:20:12,29916.75,29918.75,29916.75,29918.75,12,29918.75,29918.75,0.00
2026-08-05 09:20:13,29919.00,29920.00,29918.75,29918.75,45,29918.75,29918.75,0.00
2026-08-05 09:20:14,29919.25,29920.00,29919.25,29920.00,10,29920.00,29920.00,0.00
2026-08-05 09:20:15,29919.50,29919.50,29919.00,29919.25,4,29919.25,29919.25,0.00
2026-08-05 09:20:16,29919.00,29919.25,29918.25,29919.25,23,29919.25,29919.25,0.00
2026-08-05 09:20:17,29919.00,29919.00,29918.25,29918.25,19,29918.25,29918.25,0.00
2026-08-05 09:20:18,29918.00,29918.00,29918.00,29918.00,2,29918.00,29918.00,0.00
2026-08-05 09:20:19,29918.00,29918.00,29918.00,29918.00,1,29918.00,29918.00,0.00
2026-08-05 09:20:20,29918.00,29918.75,29918.00,29918.25,7,29918.25,29918.25,0.00
2026-08-05 09:20:21,29918.75,29918.75,29918.75,29918.75,4,29918.75,29918.75,0.00
2026-08-05 09:20:22,29918.50,29918.75,29918.00,29918.50,13,29918.50,29918.50,0.00
2026-08-05 09:20:23,29918.75,29919.00,29918.75,29919.00,5,29919.00,29919.00,0.00
2026-08-05 09:20:24,29918.75,29919.00,29918.75,29919.00,5,29919.00,29919.00,0.00
2026-08-05 09:20:25,29919.00,29920.75,29918.75,29920.00,29,29920.00,29920.00,0.00
2026-08-05 09:20:26,29919.75,29919.75,29916.50,29916.75,27,29916.75,29916.75,0.00
2026-08-05 09:20:27,29916.75,29918.00,29916.50,29918.00,19,29918.00,29918.00,0.00
2026-08-05 09:20:28,29917.75,29918.00,29917.75,29918.00,3,29918.00,29918.00,0.00
2026-08-05 09:20:29,29919.25,29919.50,29919.25,29919.50,3,29919.50,29919.50,0.00
2026-08-05 09:20:30,29919.25,29919.25,29917.25,29917.50,35,29917.50,29917.50,0.00
2026-08-05 09:20:31,29918.25,29918.25,29917.75,29917.75,29,29917.75,29917.75,0.00
2026-08-05 09:20:32,29917.25,29917.25,29916.25,29916.25,8,29916.25,29916.25,0.00
2026-08-05 09:20:34,29916.75,29917.00,29916.00,29917.00,16,29917.00,29917.00,0.00
2026-08-05 09:20:35,29916.75,29916.75,29916.75,29916.75,2,29916.75,29916.75,0.00
2026-08-05 09:20:36,29917.00,29917.00,29916.00,29916.50,9,29916.50,29916.50,0.00
2026-08-05 09:20:37,29916.25,29917.50,29916.00,29917.25,10,29917.25,29917.25,0.00
2026-08-05 09:20:38,29917.50,29918.00,29917.50,29918.00,3,29918.00,29918.00,0.00
2026-08-05 09:20:39,29918.25,29919.25,29918.25,29919.25,13,29919.25,29919.25,0.00
2026-08-05 09:20:40,29918.50,29921.00,29918.50,29920.00,44,29920.00,29920.00,0.00
2026-08-05 09:20:41,29919.25,29920.25,29919.25,29920.25,10,29920.25,29920.25,0.00
2026-08-05 09:20:42,29919.25,29920.75,29919.25,29919.75,13,29919.75,29919.75,0.00
2026-08-05 09:20:43,29920.50,29920.50,29920.00,29920.00,4,29920.00,29920.00,0.00
2026-08-05 09:20:44,29920.00,29921.00,29920.00,29921.00,24,29921.00,29921.00,0.00
2026-08-05 09:20:45,29921.00,29921.50,29921.00,29921.50,21,29921.50,29921.50,0.00
2026-08-05 09:20:46,29921.75,29922.25,29918.00,29918.00,74,29918.00,29918.00,0.00
2026-08-05 09:20:47,29918.25,29918.25,29918.00,29918.25,13,29918.25,29918.25,0.00
2026-08-05 09:20:48,29917.50,29917.75,29916.25,29916.75,30,29916.75,29916.75,0.00
2026-08-05 09:20:50,29917.00,29918.25,29917.00,29918.00,19,29918.00,29918.00,0.00
2026-08-05 09:20:51,29917.50,29918.00,29917.50,29918.00,15,29918.00,29918.00,0.00
2026-08-05 09:20:52,29917.50,29918.00,29917.50,29918.00,9,29918.00,29918.00,0.00
2026-08-05 09:20:53,29918.00,29919.25,29918.00,29919.00,17,29919.00,29919.00,0.00
2026-08-05 09:20:54,29918.75,29918.75,29918.00,29918.25,4,29918.25,29918.25,0.00
2026-08-05 09:20:55,29917.50,29917.75,29916.25,29916.25,11,29916.25,29916.25,0.00
2026-08-05 09:20:56,29916.75,29917.00,29916.50,29916.75,10,29916.75,29916.75,0.00
2026-08-05 09:20:57,29917.00,29917.00,29917.00,29917.00,2,29917.00,29917.00,0.00
2026-08-05 09:20:58,29916.25,29916.75,29916.25,29916.75,2,29916.75,29916.75,0.00
2026-08-05 09:20:59,29916.25,29917.25,29916.00,29917.00,28,29917.00,29917.00,0.00
2026-08-05 09:21:00,29917.50,29918.75,29917.50,29917.50,42,29917.50,29917.50,0.00
2026-08-05 09:21:01,29917.25,29917.75,29916.75,29917.00,13,29917.00,29917.00,0.00
2026-08-05 09:21:02,29917.00,29917.00,29916.00,29916.50,14,29916.50,29916.50,0.00
2026-08-05 09:21:03,29916.25,29916.25,29913.25,29914.00,104,29914.00,29914.00,0.00
2026-08-05 09:21:04,29914.00,29914.50,29913.25,29913.75,33,29913.75,29913.75,0.00
2026-08-05 09:21:05,29913.75,29914.25,29912.25,29914.25,50,29914.25,29914.25,0.00
2026-08-05 09:21:06,29914.25,29914.25,29913.50,29913.75,8,29913.75,29913.75,0.00
