time,open,high,low,close,volume,bid,ask,spread
2026-05-29 09:20:00,30339.50,30339.50,30339.00,30339.25,22,30339.75,30340.25,0.50
2026-05-29 09:20:01,30339.50,30340.00,30339.50,30339.50,7,30339.75,30340.25,0.50
2026-05-29 09:20:02,30339.75,30340.25,30339.75,30340.00,6,30339.75,30340.25,0.50
2026-05-29 09:20:03,30340.00,30340.50,30340.00,30340.50,5,30339.25,30339.75,0.50
2026-05-29 09:20:04,30340.25,30340.25,30339.25,30339.25,10,30339.00,30339.50,0.50
2026-05-29 09:20:05,30339.25,30339.25,30339.25,30339.25,1,30340.00,30340.25,0.25
2026-05-29 09:20:06,30339.50,30340.25,30339.50,30340.25,3,30340.00,30340.25,0.25
2026-05-29 09:20:07,30340.25,30340.25,30340.00,30340.00,2,30339.00,30339.50,0.50
2026-05-29 09:20:08,30340.00,30340.50,30339.00,30339.00,18,30338.50,30339.00,0.50
2026-05-29 09:20:09,30339.00,30339.00,30338.75,30338.75,4,30338.25,30338.75,0.50
2026-05-29 09:20:10,30338.50,30338.75,30338.50,30338.75,2,30339.00,30339.25,0.25
2026-05-29 09:20:11,30338.25,30339.25,30338.25,30339.00,6,30338.75,30339.25,0.50
2026-05-29 09:20:12,30339.25,30339.50,30339.00,30339.00,7,30338.50,30339.00,0.50
2026-05-29 09:20:13,30339.00,30339.00,30338.50,30338.50,6,30338.50,30339.00,0.50
2026-05-29 09:20:14,30338.50,30338.50,30338.25,30338.25,5,30339.00,30339.50,0.50
2026-05-29 09:20:15,30339.00,30339.50,30339.00,30339.50,9,30338.75,30339.00,0.25
2026-05-29 09:20:16,30339.50,30339.50,30338.75,30339.00,12,30338.50,30339.00,0.50
2026-05-29 09:20:17,30339.25,30339.25,30338.50,30338.75,15,30339.00,30339.25,0.25
2026-05-29 09:20:18,30339.00,30339.25,30339.00,30339.25,4,30338.50,30339.00,0.50
2026-05-29 09:20:19,30338.75,30339.00,30337.75,30338.25,12,30338.50,30339.00,0.50
