time,open,high,low,close,volume,bid,ask,spread
2026-08-26 09:20:00,29164.50,29165.50,29164.50,29164.50,13,29164.00,29164.25,0.25
2026-08-26 09:20:01,29164.00,29164.25,29163.00,29163.25,32,29163.50,29164.00,0.50
2026-08-26 09:20:02,29163.50,29163.50,29163.00,29163.25,10,29163.25,29163.75,0.50
2026-08-26 09:20:03,29163.25,29164.50,29162.75,29164.25,24,29164.75,29165.00,0.25
2026-08-26 09:20:04,29164.75,29165.00,29164.50,29164.50,12,29164.00,29164.50,0.50
2026-08-26 09:20:05,29164.25,29164.75,29164.25,29164.75,3,29163.75,29164.00,0.25
2026-08-26 09:20:06,29163.75,29164.50,29163.75,29164.25,12,29163.75,29164.25,0.50
2026-08-26 09:20:07,29164.00,29164.25,29163.75,29163.75,16,29163.00,29163.50,0.50
2026-08-26 09:20:08,29164.00,29164.00,29163.25,29163.50,22,29164.00,29164.25,0.25
2026-08-26 09:20:09,29164.00,29164.25,29164.00,29164.25,5,29163.50,29164.00,0.50
2026-08-26 09:20:10,29163.50,29163.75,29163.50,29163.75,4,29163.75,29164.00,0.25
2026-08-26 09:20:11,29163.75,29163.75,29163.00,29163.00,7,29163.00,29163.25,0.25
2026-08-26 09:20:12,29163.25,29164.25,29163.25,29164.00,9,29164.25,29164.50,0.25
2026-08-26 09:20:13,29163.75,29164.50,29163.75,29164.50,2,29164.25,29164.50,0.25
2026-08-26 09:20:14,29164.50,29164.75,29164.25,29164.25,13,29163.75,29164.25,0.50
2026-08-26 09:20:15,29164.25,29164.25,29163.75,29164.00,8,29163.25,29163.75,0.50
2026-08-26 09:20:17,29163.75,29163.75,29163.75,29163.75,2,29163.25,29163.50,0.25
2026-08-26 09:20:18,29163.50,29164.25,29162.75,29163.25,16,29162.75,29163.00,0.25
2026-08-26 09:20:19,29162.75,29163.00,29162.50,29162.50,8,29162.25,29162.50,0.25
2026-08-26 09:20:20,29162.50,29162.50,29161.75,29161.75,10,29162.00,29162.50,0.50
2026-08-26 09:20:21,29162.00,29162.00,29162.00,29162.00,8,29161.75,29162.25,0.50
2026-08-26 09:20:22,29162.00,29162.25,29161.75,29161.75,16,29161.00,29161.50,0.50
2026-08-26 09:20:23,29161.50,29161.75,29161.00,29161.50,26,29162.00,29162.50,0.50
2026-08-26 09:20:24,29162.00,29162.25,29161.25,29161.25,21,29160.25,29160.75,0.50
2026-08-26 09:20:25,29161.00,29161.00,29159.25,29160.50,73,29160.75,29161.00,0.25
2026-08-26 09:20:26,29160.25,29160.75,29160.00,29160.00,20,29160.25,29160.75,0.50
2026-08-26 09:20:27,29160.00,29160.75,29160.00,29160.00,5,29159.50,29160.00,0.50
2026-08-26 09:20:28,29159.50,29160.00,29159.50,29159.50,6,29159.75,29160.25,0.50
2026-08-26 09:20:29,29159.50,29160.25,29159.50,29159.50,10,29159.25,29159.75,0.50
2026-08-26 09:20:30,29159.75,29160.25,29159.25,29160.25,16,29159.75,29160.25,0.50
2026-08-26 09:20:31,29160.50,29160.75,29160.00,29160.25,23,29160.25,29160.75,0.50
2026-08-26 09:20:32,29160.25,29160.25,29160.00,29160.00,5,29159.75,29160.00,0.25
2026-08-26 09:20:33,29159.75,29159.75,29159.75,29159.75,1,29159.75,29160.25,0.50
