
Instrument,Series,SeriesSeconds,BarIndex,Time,Open,High,Low,Close,Volume,Range,Body,UpperWick,LowerWick,Direction,VO,VO_Change,VO_Slope3,VO_Slope5
MNQ DEC25,1s,1,0,2025-10-16 09:20:56,25071.5,25072,25071.5,25072,2,0.5,0.5,0,0,1,,,,
MNQ DEC25,1s,1,1,2025-10-16 09:20:57,25072,25072.25,25072,25072.25,4,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,2,2025-10-16 09:20:59,25071.75,25072.25,25071.75,25072.25,5,0.5,0.5,0,0,1,,,,
MNQ DEC25,1s,1,3,2025-10-16 09:21:00,25072.25,25072.25,25071.75,25072,8,0.5,0.25,0,0.25,-1,,,,
MNQ DEC25,10s,10,5399,2025-10-16 09:21:00,25072.5,25072.5,25071.5,25072,40,1,0.5,0,0.5,-1,2.3,-124.7,-59.15,-20.72
MNQ DEC25,20s,20,5699,2025-10-16 09:21:00,25072.5,25073.5,25070.75,25072,164,2.75,0.5,1,1.25,-1,160.1,-75.15,25.05,24.09
MNQ DEC25,1s,1,4,2025-10-16 09:21:01,25072,25072,25071.5,25071.5,6,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,5,2025-10-16 09:21:02,25072.25,25072.25,25069.5,25069.5,71,2.75,2.75,0,0,-1,,,,
MNQ DEC25,1s,1,6,2025-10-16 09:21:03,25069,25069.25,25068.25,25068.75,36,1,0.25,0.25,0.5,-1,,,,
MNQ DEC25,1s,1,7,2025-10-16 09:21:04,25068.5,25069.25,25068.25,25069,44,1,0.5,0.25,0.25,1,,,,
MNQ DEC25,1s,1,8,2025-10-16 09:21:05,25068.75,25068.75,25068,25068,17,0.75,0.75,0,0,-1,,,,
MNQ DEC25,1s,1,9,2025-10-16 09:21:06,25068.25,25069,25068.25,25069,22,0.75,0.75,0,0,1,,,,
MNQ DEC25,1s,1,10,2025-10-16 09:21:07,25068.5,25069,25068.5,25068.5,13,0.5,0,0.5,0,0,,,,
MNQ DEC25,1s,1,11,2025-10-16 09:21:08,25068.75,25069,25068.75,25068.75,3,0.25,0,0.25,0,0,,,,
MNQ DEC25,1s,1,12,2025-10-16 09:21:09,25068.75,25068.75,25068.25,25068.25,11,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,13,2025-10-16 09:21:10,25068.75,25069.5,25068.5,25069.5,14,1,0.75,0,0.25,1,,,,
MNQ DEC25,10s,10,5400,2025-10-16 09:21:10,25072,25072.25,25068,25069.5,237,4.25,2.5,0.25,1.5,-1,-51.95,-54.25,-70.9,-42.79
MNQ DEC25,1s,1,14,2025-10-16 09:21:11,25069.5,25070.5,25069.5,25070.5,10,1,1,0,0,1,,,,
MNQ DEC25,1s,1,15,2025-10-16 09:21:12,25070.5,25071,25070.5,25070.75,12,0.5,0.25,0.25,0,1,,,,
MNQ DEC25,1s,1,16,2025-10-16 09:21:13,25070.5,25071,25070.5,25070.5,14,0.5,0,0.5,0,0,,,,
MNQ DEC25,1s,1,17,2025-10-16 09:21:14,25071,25071,25070.75,25070.75,3,0.25,0.25,0,0,-1,,,,
MNQ DEC25,1s,1,18,2025-10-16 09:21:15,25070.75,25072.25,25070.75,25071.25,54,1.5,0.5,1,0,1,,,,
MNQ DEC25,1s,1,19,2025-10-16 09:21:16,25070.75,25071,25070.75,25071,3,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,20,2025-10-16 09:21:17,25071.25,25071.25,25070.75,25071.25,5,0.5,0,0,0.5,0,,,,
MNQ DEC25,1s,1,21,2025-10-16 09:21:18,25071,25071.25,25070.75,25071,8,0.5,0,0.25,0.25,0,,,,
MNQ DEC25,1s,1,22,2025-10-16 09:21:19,25071.25,25071.5,25071.25,25071.5,5,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,23,2025-10-16 09:21:20,25071.75,25072.5,25071.75,25072.5,20,0.75,0.75,0,0,1,,,,
MNQ DEC25,10s,10,5401,2025-10-16 09:21:20,25069.5,25072.5,25069.5,25072.5,134,3,3,0,0,1,-59,-7.05,-62,-47.75
MNQ DEC25,20s,20,5700,2025-10-16 09:21:20,25072,25072.5,25068,25072.5,371,4.5,0.5,0,4,1,179.15,19.05,-11.31666667,27.52
MNQ DEC25,1s,1,24,2025-10-16 09:21:21,25072.5,25073.5,25072.5,25073,22,1,0.5,0.5,0,1,,,,
MNQ DEC25,1s,1,25,2025-10-16 09:21:22,25073.5,25074,25072.25,25073,61,1.75,0.5,0.5,0.75,-1,,,,
MNQ DEC25,1s,1,26,2025-10-16 09:21:23,25073,25073,25072.75,25073,6,0.25,0,0,0.25,0,,,,
MNQ DEC25,1s,1,27,2025-10-16 09:21:24,25073,25073,25072.5,25072.5,5,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,28,2025-10-16 09:21:25,25072.75,25072.75,25072.75,25072.75,1,0,0,0,0,0,,,,
MNQ DEC25,1s,1,29,2025-10-16 09:21:26,25072.5,25072.75,25072.5,25072.75,6,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,30,2025-10-16 09:21:27,25072.75,25072.75,25072.5,25072.75,9,0.25,0,0,0.25,0,,,,
MNQ DEC25,1s,1,31,2025-10-16 09:21:28,25072.25,25072.75,25072.25,25072.25,4,0.5,0,0.5,0,0,,,,
MNQ DEC25,1s,1,32,2025-10-16 09:21:29,25072.25,25072.25,25072,25072,12,0.25,0.25,0,0,-1,,,,
MNQ DEC25,1s,1,33,2025-10-16 09:21:30,25071.75,25071.75,25071,25071,8,0.75,0.75,0,0,-1,,,,
MNQ DEC25,10s,10,5402,2025-10-16 09:21:30,25072.5,25074,25071,25071,134,3,1.5,1.5,0,-1,-59.95,-0.95,-20.75,-44.14
MNQ DEC25,1s,1,34,2025-10-16 09:21:31,25071.25,25071.25,25070.5,25070.75,29,0.75,0.5,0,0.25,-1,,,,
MNQ DEC25,1s,1,35,2025-10-16 09:21:32,25070.5,25071,25070.5,25071,4,0.5,0.5,0,0,1,,,,
MNQ DEC25,1s,1,36,2025-10-16 09:21:33,25070.5,25071,25070.5,25070.75,7,0.5,0.25,0.25,0,1,,,,
MNQ DEC25,1s,1,37,2025-10-16 09:21:34,25070.5,25070.5,25070.5,25070.5,2,0,0,0,0,0,,,,
MNQ DEC25,1s,1,38,2025-10-16 09:21:35,25070.75,25071,25070.5,25070.5,5,0.5,0.25,0.25,0,-1,,,,
MNQ DEC25,1s,1,39,2025-10-16 09:21:37,25070.75,25071,25070.5,25070.5,3,0.5,0.25,0.25,0,-1,,,,
MNQ DEC25,1s,1,40,2025-10-16 09:21:38,25070.5,25070.75,25069.75,25070.25,37,1,0.25,0.25,0.5,-1,,,,
MNQ DEC25,1s,1,41,2025-10-16 09:21:39,25070,25070,25069.5,25069.5,22,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,42,2025-10-16 09:21:40,25069.5,25069.75,25069.25,25069.25,20,0.5,0.25,0.25,0,-1,,,,
MNQ DEC25,10s,10,5403,2025-10-16 09:21:40,25071.25,25071.25,25069.25,25069.25,129,2,2,0,0,-1,-61.05,-1.1,-3.03333333,-37.61
MNQ DEC25,20s,20,5701,2025-10-16 09:21:40,25072.5,25074,25069.25,25069.25,263,4.75,3.25,1.5,0,-1,121.45,-57.7,-37.93333333,7.3
MNQ DEC25,1s,1,43,2025-10-16 09:21:41,25069.5,25069.75,25069.25,25069.75,11,0.5,0.25,0,0.25,1,,,,
MNQ DEC25,1s,1,44,2025-10-16 09:21:42,25069.25,25069.75,25069,25069,10,0.75,0.25,0.5,0,-1,,,,
MNQ DEC25,1s,1,45,2025-10-16 09:21:43,25069.25,25069.25,25068.25,25068.25,11,1,1,0,0,-1,,,,
MNQ DEC25,1s,1,46,2025-10-16 09:21:44,25068.5,25068.5,25068,25068.25,6,0.5,0.25,0,0.25,-1,,,,
MNQ DEC25,1s,1,47,2025-10-16 09:21:45,25068,25068.75,25068,25068.75,5,0.75,0.75,0,0,1,,,,
MNQ DEC25,1s,1,48,2025-10-16 09:21:46,25068.25,25068.75,25067.5,25068.25,29,1.25,0,0.5,0.75,0,,,,
MNQ DEC25,1s,1,49,2025-10-16 09:21:47,25068.25,25068.25,25067.75,25067.75,24,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,50,2025-10-16 09:21:48,25068,25068,25067.5,25067.5,4,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,51,2025-10-16 09:21:49,25067.5,25067.75,25067,25067.25,37,0.75,0.25,0.25,0.25,-1,,,,
MNQ DEC25,1s,1,52,2025-10-16 09:21:50,25067.5,25068.5,25067.5,25068.5,19,1,1,0,0,1,,,,
MNQ DEC25,10s,10,5404,2025-10-16 09:21:50,25069.5,25069.75,25067,25068.5,156,2.75,1,0.25,1.5,-1,-42.4,18.65,5.53333333,-8.94
MNQ DEC25,1s,1,53,2025-10-16 09:21:51,25068,25068.75,25068,25068.75,17,0.75,0.75,0,0,1,,,,
MNQ DEC25,1s,1,54,2025-10-16 09:21:52,25068.75,25069.25,25068.25,25069.25,11,1,0.5,0,0.5,1,,,,
MNQ DEC25,1s,1,55,2025-10-16 09:21:53,25069.5,25069.75,25069.25,25069.75,5,0.5,0.25,0,0.25,1,,,,
MNQ DEC25,1s,1,56,2025-10-16 09:21:54,25070,25070.25,25069.75,25069.75,3,0.5,0.25,0.25,0,-1,,,,
MNQ DEC25,1s,1,57,2025-10-16 09:21:55,25070.25,25071.25,25070.25,25070.5,26,1,0.25,0.75,0,1,,,,
MNQ DEC25,1s,1,58,2025-10-16 09:21:56,25070.75,25071,25070.75,25070.75,4,0.25,0,0.25,0,0,,,,
MNQ DEC25,1s,1,59,2025-10-16 09:21:57,25070.25,25070.75,25070.25,25070.75,4,0.5,0.5,0,0,1,,,,
MNQ DEC25,1s,1,60,2025-10-16 09:21:58,25070.5,25071.25,25070.5,25071.25,10,0.75,0.75,0,0,1,,,,
MNQ DEC25,1s,1,61,2025-10-16 09:21:59,25071.25,25071.5,25071.25,25071.25,13,0.25,0,0.25,0,0,,,,
MNQ DEC25,1s,1,62,2025-10-16 09:22:00,25071.25,25071.25,25070.5,25070.75,15,0.75,0.5,0,0.25,-1,,,,
MNQ DEC25,10s,10,5405,2025-10-16 09:22:00,25068,25071.5,25068,25070.75,108,3.5,2.75,0.75,0,1,-65.35,-22.95,-1.8,-2.68
MNQ DEC25,20s,20,5702,2025-10-16 09:22:00,25069.5,25071.5,25067,25070.75,264,4.5,1.25,0.75,2.5,1,-52.35,-173.8,-70.81666667,-53.09
MNQ DEC25,1s,1,63,2025-10-16 09:22:01,25070.75,25070.75,25070.75,25070.75,3,0,0,0,0,0,,,,
MNQ DEC25,1s,1,64,2025-10-16 09:22:02,25070,25070,25070,25070,4,0,0,0,0,0,,,,
MNQ DEC25,1s,1,65,2025-10-16 09:22:03,25070,25070,25069.75,25069.75,4,0.25,0.25,0,0,-1,,,,
MNQ DEC25,1s,1,66,2025-10-16 09:22:04,25069.75,25069.75,25068.75,25068.75,12,1,1,0,0,-1,,,,
MNQ DEC25,1s,1,67,2025-10-16 09:22:05,25069,25069.25,25068.25,25068.25,31,1,0.75,0.25,0,-1,,,,
MNQ DEC25,1s,1,68,2025-10-16 09:22:06,25068.25,25068.5,25068,25068.5,17,0.5,0.25,0,0.25,1,,,,
MNQ DEC25,1s,1,69,2025-10-16 09:22:07,25068.25,25068.25,25068.25,25068.25,1,0,0,0,0,0,,,,
MNQ DEC25,1s,1,70,2025-10-16 09:22:08,25068.75,25068.75,25068.25,25068.75,5,0.5,0,0,0.5,0,,,,
MNQ DEC25,1s,1,71,2025-10-16 09:22:09,25068.25,25068.75,25068.25,25068.75,2,0.5,0.5,0,0,1,,,,
MNQ DEC25,1s,1,72,2025-10-16 09:22:10,25068.5,25068.5,25068.5,25068.5,1,0,0,0,0,0,,,,
MNQ DEC25,10s,10,5406,2025-10-16 09:22:10,25070.75,25070.75,25068,25068.5,80,2.75,2.25,0,0.5,-1,-74.55,-9.2,-4.5,-3.11
MNQ DEC25,1s,1,73,2025-10-16 09:22:11,25068,25068,25067.5,25067.5,30,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,74,2025-10-16 09:22:12,25067.25,25067.25,25067,25067.25,6,0.25,0,0,0.25,0,,,,
MNQ DEC25,1s,1,75,2025-10-16 09:22:13,25067.25,25067.75,25067.25,25067.75,4,0.5,0.5,0,0,1,,,,
MNQ DEC25,1s,1,76,2025-10-16 09:22:14,25068,25068,25067.5,25067.5,3,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,77,2025-10-16 09:22:15,25068,25068,25067.5,25068,11,0.5,0,0,0.5,0,,,,
MNQ DEC25,1s,1,78,2025-10-16 09:22:16,25067.75,25067.75,25066.75,25066.75,11,1,1,0,0,-1,,,,
MNQ DEC25,1s,1,79,2025-10-16 09:22:17,25066.75,25067,25066.75,25066.75,9,0.25,0,0.25,0,0,,,,
MNQ DEC25,1s,1,80,2025-10-16 09:22:18,25067,25067.25,25067,25067,4,0.25,0,0.25,0,0,,,,
MNQ DEC25,1s,1,81,2025-10-16 09:22:19,25067.25,25067.5,25067.25,25067.5,3,0.25,0.25,0,0,1,,,,
MNQ DEC25,1s,1,82,2025-10-16 09:22:20,25067.5,25067.5,25067.25,25067.5,10,0.25,0,0,0.25,0,,,,
MNQ DEC25,10s,10,5407,2025-10-16 09:22:20,25068,25068,25066.75,25067.5,91,1.25,0.5,0,0.75,-1,-84.55,-10,-14.05,-4.92
MNQ DEC25,20s,20,5703,2025-10-16 09:22:20,25070.75,25070.75,25066.75,25067.5,171,4,3.25,0,0.75,-1,-71.85,-19.5,-83.66666667,-61.42
MNQ DEC25,1s,1,83,2025-10-16 09:22:21,25067.5,25067.5,25067,25067.25,6,0.5,0.25,0,0.25,-1,,,,
MNQ DEC25,1s,1,84,2025-10-16 09:22:23,25067,25069.25,25066.75,25069.25,115,2.5,2.25,0,0.25,1,,,,
MNQ DEC25,1s,1,85,2025-10-16 09:22:24,25069.25,25069.25,25068,25068.5,21,1.25,0.75,0,0.5,-1,,,,
MNQ DEC25,1s,1,86,2025-10-16 09:22:25,25068.25,25068.5,25068,25068.25,7,0.5,0,0.25,0.25,0,,,,
MNQ DEC25,1s,1,87,2025-10-16 09:22:26,25068,25068,25067.5,25067.5,7,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,88,2025-10-16 09:22:27,25067.25,25067.25,25066.5,25066.5,22,0.75,0.75,0,0,-1,,,,
MNQ DEC25,1s,1,89,2025-10-16 09:22:28,25066.75,25066.75,25066.25,25066.25,5,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,90,2025-10-16 09:22:29,25066.25,25067.5,25066.25,25067.5,13,1.25,1.25,0,0,1,,,,
MNQ DEC25,1s,1,91,2025-10-16 09:22:30,25067.5,25067.5,25067.25,25067.25,6,0.25,0.25,0,0,-1,,,,
MNQ DEC25,10s,10,5408,2025-10-16 09:22:30,25067.5,25069.25,25066.25,25067.25,202,3,0.25,1.75,1,-1,-63.4,21.15,0.65,-0.47
MNQ DEC25,1s,1,92,2025-10-16 09:22:31,25067.25,25068.25,25067,25067.5,14,1.25,0.25,0.75,0.25,1,,,,
MNQ DEC25,1s,1,93,2025-10-16 09:22:32,25067.5,25068,25067.5,25067.5,7,0.5,0,0.5,0,0,,,,
MNQ DEC25,1s,1,94,2025-10-16 09:22:33,25068,25068.25,25067.75,25068.25,15,0.5,0.25,0,0.25,1,,,,
MNQ DEC25,1s,1,95,2025-10-16 09:22:34,25068,25068,25067.75,25067.75,2,0.25,0.25,0,0,-1,,,,
MNQ DEC25,1s,1,96,2025-10-16 09:22:35,25067.75,25067.75,25067.25,25067.25,7,0.5,0.5,0,0,-1,,,,
MNQ DEC25,1s,1,97,2025-10-16 09:22:36,25067,25067,25066,25066,25,1,1,0,0,-1,,,,
MNQ DEC25,1s,1,98,2025-10-16 09:22:37,25065.75,25065.75,25065.5,25065.5,27,0.25,0.25,0,0,-1,,,,
MNQ DEC25,1s,1,99,2025-10-16 09:22:38,25066,25066,25064.75,25064.75,39,1.25,1.25,0,0,-1,,,,
MNQ DEC25,1s,1,100,2025-10-16 09:22:39,25065,25065,25061.5,25062.75,178,3.5,2.25,0,1.25,-1,,,,
MNQ DEC25,1s,1,101,2025-10-16 09:22:40,25062.5,25062.5,25061.25,25061.5,89,1.25,1,0,0.25,-1,,,,
MNQ DEC25,10s,10,5409,2025-10-16 09:22:40,25067.25,25068.25,25061.25,25061.5,403,7,5.75,1,0.25,-1,-24.65,38.75,16.63333333,3.55
MNQ DEC25,20s,20,5704,2025-10-16 09:22:40,25067.5,25069.25,25061.25,25061.5,605,8,6,1.75,0.25,-1,-1,70.85,-40.81666667,-32.22
MNQ DEC25,1s,1,102,2025-10-16 09:22:41,25061.75,25062.25,25061,25061.75,35,1.25,0,0.5,0.75,0,,,,
