Instrument,Series,SeriesSeconds,BarIndex,Time,Open,High,Low,Close,Volume,Range,Body,UpperWick,LowerWick,Direction,VO,VO_Change,VO_Slope3,VO_Slope5
MNQ MAR26,1s,1,0,2026-03-05 09:19:59,24969.75,24969.75,24967.5,24967.5,33,2.25,2.25,0,0,-1,,,,
MNQ MAR26,1s,1,1,2026-03-05 09:20:00,24967,24967.5,24965.75,24966.75,25,1.75,0.25,0.5,1,-1,,,,
MNQ MAR26,10s,10,5399,2026-03-05 09:20:00,24971.5,24971.5,24965.75,24966.75,160,5.75,4.75,0,1,-1,-25.6,-11,16.35,13.6
MNQ MAR26,20s,20,5699,2026-03-05 09:20:00,24970.75,24974.75,24965.75,24966.75,1112,9,4,4,1,-1,62.85,23.85,-157.26666667,-83.63
MNQ MAR26,1s,1,2,2026-03-05 09:20:01,24966.5,24967.75,24965.75,24966.5,65,2,0,1.25,0.75,0,,,,
MNQ MAR26,1s,1,3,2026-03-05 09:20:02,24967,24967.5,24966.25,24966.75,25,1.25,0.25,0.5,0.5,-1,,,,
MNQ MAR26,1s,1,4,2026-03-05 09:20:03,24966,24966.5,24966,24966.5,15,0.5,0.5,0,0,1,,,,
MNQ MAR26,1s,1,5,2026-03-05 09:20:04,24965.5,24965.5,24964.75,24965.5,46,0.75,0,0,0.75,0,,,,
MNQ MAR26,1s,1,6,2026-03-05 09:20:05,24965.5,24966.5,24965.25,24966.5,20,1.25,1,0,0.25,1,,,,
MNQ MAR26,1s,1,7,2026-03-05 09:20:06,24965.5,24968,24965.25,24965.25,40,2.75,0.25,2.5,0,-1,,,,
MNQ MAR26,1s,1,8,2026-03-05 09:20:07,24965.75,24966,24964.75,24965.5,37,1.25,0.25,0.25,0.75,-1,,,,
MNQ MAR26,1s,1,9,2026-03-05 09:20:08,24965.75,24966,24965.25,24966,10,0.75,0.25,0,0.5,1,,,,
MNQ MAR26,1s,1,10,2026-03-05 09:20:09,24965.75,24966.75,24965.25,24965.75,21,1.5,0,1,0.5,0,,,,
MNQ MAR26,1s,1,11,2026-03-05 09:20:10,24966,24966,24963.5,24963.75,49,2.5,2.25,0,0.25,-1,,,,
MNQ MAR26,10s,10,5400,2026-03-05 09:20:10,24966.5,24968,24963.5,24963.75,328,4.5,2.75,1.5,0.25,-1,-50,-24.4,17.06666667,8.76
MNQ MAR26,1s,1,12,2026-03-05 09:20:11,24964,24964,24963,24963.75,31,1,0.25,0,0.75,-1,,,,
MNQ MAR26,1s,1,13,2026-03-05 09:20:12,24964,24964.25,24963,24964,23,1.25,0,0.25,1,0,,,,
MNQ MAR26,1s,1,14,2026-03-05 09:20:13,24963.5,24964.25,24962.5,24963.75,31,1.75,0.25,0.5,1,1,,,,
MNQ MAR26,1s,1,15,2026-03-05 09:20:14,24964,24964,24962.75,24962.75,24,1.25,1.25,0,0,-1,,,,
MNQ MAR26,1s,1,16,2026-03-05 09:20:15,24963.5,24965.25,24963,24965.25,26,2.25,1.75,0,0.5,1,,,,
MNQ MAR26,1s,1,17,2026-03-05 09:20:16,24965,24965,24964.5,24964.5,5,0.5,0.5,0,0,-1,,,,
MNQ MAR26,1s,1,18,2026-03-05 09:20:17,24964.5,24965.25,24964.25,24964.5,9,1,0,0.75,0.25,0,,,,
MNQ MAR26,1s,1,19,2026-03-05 09:20:18,24965.25,24965.5,24963.75,24964.5,28,1.75,0.75,0.25,0.75,-1,,,,
MNQ MAR26,1s,1,20,2026-03-05 09:20:19,24964.75,24965,24964,24964,14,1,0.75,0.25,0,-1,,,,
MNQ MAR26,1s,1,21,2026-03-05 09:20:20,24964.25,24970,24964,24970,54,6,5.75,0,0.25,1,,,,
MNQ MAR26,10s,10,5401,2026-03-05 09:20:20,24964,24970,24962.5,24970,245,7.5,6,0,1.5,1,-81.2,-31.2,-22.2,-1.31
MNQ MAR26,20s,20,5700,2026-03-05 09:20:20,24966.5,24970,24962.5,24970,573,7.5,3.5,0,4,1,51.7,-11.15,-35.33333333,-92.24
MNQ MAR26,1s,1,22,2026-03-05 09:20:21,24969.5,24970.75,24969.25,24970.5,30,1.5,1,0.25,0.25,1,,,,
MNQ MAR26,1s,1,23,2026-03-05 09:20:22,24970.5,24970.75,24969,24970.25,15,1.75,0.25,0.25,1.25,-1,,,,
MNQ MAR26,1s,1,24,2026-03-05 09:20:23,24969.75,24970.5,24969.25,24969.5,53,1.25,0.25,0.75,0.25,-1,,,,
MNQ MAR26,1s,1,25,2026-03-05 09:20:24,24969.75,24970.75,24969.75,24970.75,18,1,1,0,0,1,,,,
MNQ MAR26,1s,1,26,2026-03-05 09:20:25,24971,24971.75,24970.5,24971.75,18,1.25,0.75,0,0.5,1,,,,
MNQ MAR26,1s,1,27,2026-03-05 09:20:26,24971.5,24973.5,24970.5,24973.25,50,3,1.75,0.25,1,1,,,,
MNQ MAR26,1s,1,28,2026-03-05 09:20:27,24973,24974,24971.75,24973.25,32,2.25,0.25,0.75,1.25,1,,,,
MNQ MAR26,1s,1,29,2026-03-05 09:20:28,24973.25,24973.75,24973,24973.5,22,0.75,0.25,0.25,0.25,1,,,,
MNQ MAR26,1s,1,30,2026-03-05 09:20:29,24973.75,24974.25,24973.25,24974,22,1,0.25,0.25,0.5,1,,,,
MNQ MAR26,1s,1,31,2026-03-05 09:20:30,24974,24974,24973.5,24973.75,6,0.5,0.25,0,0.25,-1,,,,
MNQ MAR26,10s,10,5402,2026-03-05 09:20:30,24969.5,24974.25,24969,24973.75,266,5.25,4.25,0.5,0.5,1,-63.6,17.6,-12.66666667,7.52
