date,time,state,mag,eff,spike
20260904,10:03:00,DOWN,20,0.54,-
20260904,10:03:20,OFF,7,0.20,-
20260904,10:07:50,DOWN,17,0.59,SPIKE
20260904,10:08:40,OFF,8,0.27,-
20260904,10:09:10,DOWN,15,0.52,SPIKE
20260904,10:09:30,OFF,14,0.46,-
20260904,10:09:40,DOWN,19,0.57,SPIKE
20260904,10:10:10,OFF,8,0.25,-
20260904,10:10:20,OFF,12,0.54,-
20260904,10:10:30,DOWN,17,0.76,-
20260904,10:11:10,OFF,14,0.43,-
20260904,10:11:30,DOWN,25,0.76,-
20260904,10:13:40,OFF,12,0.22,-
20260904,10:15:00,UP,32,0.54,-
20260904,10:16:30,OFF,14,0.36,-
20260904,10:17:50,DOWN,32,0.82,-
20260904,10:18:40,OFF,5,0.15,-
20260904,10:19:00,DOWN,19,0.63,SPIKE
20260904,10:21:20,OFF,16,0.31,-
20260904,10:23:20,UP,25,0.74,-
20260904,10:24:00,OFF,10,0.36,-
20260904,10:25:50,DOWN,24,0.84,-
20260904,10:27:30,OFF,9,0.24,-
20260904,10:28:00,DOWN,27,0.70,-
20260904,10:28:40,OFF,7,0.22,-
20260904,10:46:20,OFF,4,0.19,-
20260904,10:49:20,DOWN,17,0.75,-
20260904,10:50:10,OFF,14,0.46,-
20260904,10:52:50,UP,16,0.63,-
20260904,10:53:10,OFF,10,0.46,-
20260904,10:56:50,DOWN,21,0.73,-
20260904,10:57:10,OFF,12,0.41,-
